place_name	latitude	longitude	category
Chavonis, fort	-33.90662	18.421893	site
Hutton In The Forest	54.73646	-2.85048	populated place
Pang	33.1333333	77.7833333	populated place
Warsop	53.20524	-1.14791	populated place
Rothwell	52.41946	-0.79819	populated place
Kaoshan Pass	35.26573427	69.01724138	terrestrial feature
Semarang, verdedigingswerken van	-6.967491	110.425665	site
Norwich	52.6333	1.3	populated place
Thornton	53.79202	-1.87151	populated place
Melton Mowbray	52.76646	-0.88775	populated place
Lukla	27.700001	86.716667	populated place
Andernach	50.4333	7.4	populated place
Carnforth	54.12688	-2.7673	populated place
Xiongzhou	38.9653	116.0972	populated place
Toba	31.3167	97.7	populated place
Yakmish	32.4333	53.05	populated place
Scunthorpe	53.58549	-0.64569	populated place
Jedrzejow	50.633331	20.299999	populated place
Aulnay 	48.466667	4.4	populated place
Baai van Caledonië	8.83436	-77.643171	hydrological feature
Charly	46.899069	2.748029	site
Vologda	59.2167	39.9	populated place
Gosforth	55.01115	-1.62525	populated place
Doliche	37.061111	37.391111	site
Cabedelo	-6.970049	-34.834864	site
St Minver	50.55762	-4.87198	populated place
Khan Giran; Gardaneh-ye	36.583332	60.816666	terrestrial feature
Greenbush, fort (New York)	42.634573	-73.7494	site
Planica	46.469871	15.580475	site
Bandar-e Abbas	27.178951	56.275485	administrative area
Stowmarket	52.18812	0.99336	populated place
Bukhoro	39.799999	64.416664	populated place
Fakenham	52.83994	0.86466	populated place
Parandeh Kowtal-e	35.416668	69.366669	terrestrial feature
Toroq	36.2114	59.6653	populated place
Satu Mare	47.8	22.8833	populated place
Aurignac	43.216944	0.881389	site
Cefnllys	52.2507	-3.36152	populated place
Karvansara-ye Shah `Abbasi 	35.25	50.2666667	populated place
Burslem	53.04534	-2.19395	populated place
Tiemen Guan	41.783333	86.1749995	terrestrial feature
Kesan	40.8558	26.6303	populated place
Cap de Garde	36.963056	7.781667	site
Bexhill	50.84795	0.45151	populated place
Pagnag	32.333332	91.666664	populated place
Aksu	41.150002	80.25	populated place
Flatlands	40.629262	-73.933368	populated place
Staveley	53.26853	-1.35179	populated place
Jining	35.405	116.5814	populated place
Alushta	44.666668	34.416668	populated place
Newnham	52.01924	-0.18076	populated place
Ambrault	46.798333	1.941111	site
Logrono	42.466667	-2.45	populated place
Maso Corto	46.75	10.7667	populated place
Kaapverdië	15.103414	-23.626052	populated place
Boston	52.9833	-0.0167	populated place
Yingxiu	31.0667	103.4833	populated place
Wande	36.3297	116.9211	populated place
Pisa	43.7167	10.3833	populated place
Plymouth	50.3725	-4.172777777	populated place
East Buckland	51.0683	-3.89128	populated place
Porto Recanati	43.4333	13.6667	populated place
Shuozhou	39.3158	112.4225	populated place
Torun	53.033333	18.6	populated place
San'a'	15.3547	44.2067	populated place
Maricary	2.016647	-50.439663	site
Affogados	-8.073931	-34.909236	site
Shurok Sumdo	33.0666667	78.55	populated place
Isygarreg	52.5673	-3.87634	populated place
Bridgwater	51.12829	-3.00059	populated place
Castro	-42.482115	-73.763841	site
Grenada	12.1167	-61.75	administrative area
Tokmok	42.866669	75.300003	populated place
Llanfihangel Llantarnam	51.63958	-3.02925	populated place
Karaikal	10.92716	79.837124	populated place
Simylla	19.956095	72.879037	populated place
Lampong Toulang Bauang	-4.5	105.3166667	site
Bayreuth	49.950001	11.583333	populated place
Dukinfield	53.47661	-2.06362	populated place
Wigan	53.54256	-2.64731	populated place
Xian	34.260277	108.935547	populated place
Tuz-Bel';Pereval	38.533333	72.933334	terrestrial feature
Hierapolis	37.943889	29.123889	site
Silalauw	-3.647959	128.766275	site
Adlington	53.60948	-2.61156	populated place
Montgross	44.66	3.07	populated place
Back Off Bay	17.465236	-62.964268	site
Governors Island, fort	40.69122	-74.016175	site
Ancaster	52.982885	-0.536092	site
Barcombe Down	54.991111	-2.360833	site
Hoggeston	51.9144	-0.82792	populated place
Radolfzell am Bodensee	47.7333	8.9667	populated place
Gulistan	40.799999	69.050003	populated place
Kraton Yogyakarta	-7.805286	110.364393	site
Fertörákos	47.721975	16.647872	site
Amsterdam, fort (Manado)	1.533333333	124.9166667	site
Penryn	50.16958	-5.10545	populated place
Delfft, fort (Poorto)	-3.562222222	128.5972222	site
Skiddaw	54.65584	-3.11573	populated place
Ternate	0.8	127.3833333	site
