term	geo_class	toponyms
Afghan	admin_0	Afghanistan
Albanian	admin_0	Albania
Algerian	admin_0	Algeria
Angolan	admin_0	Angola
Argentine	admin_0	Argentina
Armenian	admin_0	Armenia
Australian	admin_0	Australia
Austrian	admin_0	Austria
Azerbaijan	admin_0	Azerbaijan
Belizian	admin_0	Belize
Benin	admin_0	Benin
Bolivian	admin_0	Bolivia
Bosnian	admin_0	Bosnia and Herzegovina
Botswana	admin_0	Botswana
Brazilian	admin_0	Brazil
Bulgarian	admin_0	Bulgaria
Burkina Faso	admin_0	Burkina Faso
Burmese	admin_0	Myanmar
Burundian	admin_0	Burundi
Byelorussian	admin_0	Belarus
Cambodian	admin_0	Cambodia
Cameroon	admin_0	Cameroon
Cape Verdian	admin_0	Cabo Verde
Central African Republic	admin_0	Central African Republic
Chad	admin_0	Chad
Chilean	admin_0	Chile
Chinese	admin_0	China
Colombian	admin_0	Colombia
Costa Rican	admin_0	Costa Rica
Croatian	admin_0	Croatia
Cuban	admin_0	Cuba
Czech	admin_0	Czechia
Danish	admin_0	Denmark
Dominican	admin_0	Dominican Republic
Dutch	admin_0	Netherlands
Ecuadorian	admin_0	Ecuador
Egyptian	admin_0	Egypt
English	admin_0	United Kingdom
Eritrean	admin_0	Eritrea
Estonian	admin_0	Estonia
Ethiopian	admin_0	Ethiopia
Filipino	admin_0	Philippines
Finnish	admin_0	Finland
French	admin_0	France
Gabonese	admin_0	Gabon
Gambian	admin_0	Gambia
Georgian	admin_0	Georgia
German	admin_0	Germany
Ghanaian	admin_0	Ghana
Greek	admin_0	Greece
Guatemalan	admin_0	Guatemala
Guinea Bissau	admin_0	Guinea-Bissau
Guinean	admin_0	Guinea
Honduran	admin_0	Honduras
Hungarian	admin_0	Hungary
Icelandic	admin_0	Iceland
Indian	admin_0	India
Indonesian	admin_0	Indonesia
Iranian	admin_0	Iran
Iraqi	admin_0	Iraq
Irish	admin_0	Ireland
Italian	admin_0	Italy
Ivory Coast	admin_0	Côte d'Ivoire
Japanese	admin_0	Japan
Jewish	admin_0	Israel
Jordanian	admin_0	Jordan
Kabardin	admin_0	Russia
Kazakh	admin_0	Kazakhstan
Kenyan	admin_0	Kenya
Kirghiz	admin_0	Kyrgyzstan
Kuwaiti	admin_0	Kuwait
Laotian	admin_0	Laos
Latvian	admin_0	Latvia
Lebanese	admin_0	Lebanon
Lesotho	admin_0	Lesotho
Liberian	admin_0	Liberia
Libyan	admin_0	Libya
Lithuanian	admin_0	Lithuania
Livonian	admin_0	Latvia
Luxembourg	admin_0	Luxembourg
Macedonian	admin_0	North Macedonia
Malagasy	admin_0	Madagascar
Malawian	admin_0	Malawi
Malaysian	admin_0	Malaysia
Mali	admin_0	Mali
Maltese	admin_0	Malta
Mauritanian	admin_0	Mauritania
Mauritian	admin_0	Mauritius
Mexican	admin_0	Mexico
Mongolian	admin_0	Mongolia
Montenegrin	admin_0	Montenegro
Moroccan	admin_0	Morocco
Mozambique	admin_0	Mozambique
Namibian	admin_0	Namibia
Nepalese	admin_0	Nepal
