type_id	combinations	languages
1	2,3,4,8,15,21,41,158	Argentine,Basque,Byelorussian,Cambodian,Catalan,Cheremis/Mari,Chinese,Chuvash,Costa Rican,Dutch,East African,Egyptian,Estonian,Finnish,Flemish,French,Frisian,Georgian,German,Ghanaian,Greek,Gypsy,Hungarian,Indian,Irish,Italian,Jewish,Karelian,Korean,Lappish,Latvian,Liberian,Lithuanian,Livonian,Lydian,Mayan,Mexican,Mongolian,Mordvinian,Namibian,Nenets,Norwegian,Ossetian,Palestinian,Paraguayan,Polish,Portuguese,Rumanian,Russian,Slovakian,Slovene,Sorbian,South African,South American,Spanish,Sri Lankan,Sudanese,Swedish,Syrjanian,Tatar,Turkish,Ukrainian,Votyak,Wepsian,Wotian,Yakut
1*		
1**		
2	1,3,4,5,8,15,41,158,1910	African American,Basque,Bulgarian,Byelorussian,Cheremis/Mari,Chinese,Chuvash,Czech,Dutch,Estonian,Faeroese,Finnish,Flemish,French,Frisian,Georgian,German,Greek,Gypsy,Hungarian,Icelandic,Indian,Iranian,Irish,Italian,Japanese,Jewish,Karelian,Korean,Lappish,Latvian,Livonian,Lydian,Mexican,Nenets,Norwegian,Ossetian,Polish,Puerto Rican,Russian,Siberian,Slovakian,Slovene,Sorbian,South African,Spanish,Swedish,Syrjanian,Tadzhik,Tatar,Turkish,US-American,Ukrainian,Votyak,Walloon,Wepsian,Wotian,Yakut
2A		Algerian,Bosnian,Dutch,Egyptian,Estonian,French,Georgian,German,Greek,Hungarian,Indian,Indonesian,Iranian,Iraqi,Irish,Italian,Jewish,Jordanian,Moroccan,New Zealand,Ossetian,Palestinian,Portuguese,Qatar,Rumanian,Saudi Arabian,Serbian,South African,Spanish,Sudanese,Syrian,Tunisian,Turkish,Ukrainian
2B	1,4,5,1954,122,1979,482,1987,224	Catalan,Dutch,French,Greek,Hungarian,Mordvinian,Portuguese,Spanish
2C		
2D	2,4,5	Bulgarian,Catalan,Croatian,French,German,Hungarian,Jewish,Slovene,Spanish,Walloon
3	1,2,4,5,15,30,41	Argentine,Bulgarian,Byelorussian,Cape Verdian,Catalan,Croatian,Czech,Estonian,Finnish,Georgian,German,Greek,Hungarian,Irish,Italian,Jewish,Karelian,Ladinian,Laotian,Lappish,Latvian,Macedonian,Mayan,Mexican,Mongolian,Mordvinian,Polish,Polynesian,Portuguese,Rumanian,Russian,Serbian,Slovakian,Slovene,Sorbian,Spanish,Swedish,Tadzhik,Turkish,Ukrainian,Wepsian,Wotian,Yakut
3*		Finnish,Flemish,German,Hungarian,Latvian,Spanish,Swedish
4	1,2,3,5,15,30,34,41,47A,47B,100	Algerian,Basque,Bulgarian,Buryat,Byelorussian,Catalan,Chilean,Chuvash,Congolese,Costa Rican,Croatian,Czech,Dominican,East African,Estonian,Finnish,French,Georgian,German,Greek,Guatemalan,Gypsy,Hungarian,Indian,Italian,Jewish,Karelian,Laotian,Lappish,Latvian,Lithuanian,Mayan,Mongolian,Mordvinian,Moroccan,Namibian,Portuguese,Russian,Serbian,Sierra Leone,Slovakian,Slovene,Sorbian,South African,South American,Spanish,Sudanese,Swedish,Tadzhik,Tunisian,Turkish,Ukrainian,Wepsian,West Indies,Wotian,Yakut
5	1,2,3,4,5,15,37,41,66A,66B	African American,Albanian,Basque,Brazilian,Bulgarian,Chilean,Chinese,Congolese,Dominican,East African,Filipino,Finnish,French,German,Greek,Guinea Bissau,Hungarian,Indian,Indonesian,Lappish,Malaysian,Mexican,Namibian,Norwegian,Pakistani,Polish,Puerto Rican,South African,South American,Spanish,Sri Lankan,Sudanese,Swedish,Ukrainian
6	56A,61	Algerian,Basque,Bulgarian,Catalan,Chilean,Chinese,Dutch,Estonian,Finnish,Flemish,French,Georgian,German,Greek,Hungarian,Indian,Iranian,Irish,Italian,Japanese,Jordanian,Lappish,Latvian,Lithuanian,Malagasy,Mexican,Oman,Ossetian,Puerto Rican,Sardinian,South African,South American,Spanish,Swedish,Tadzhik,Vietnamese
6*		Hungarian,Italian,Jewish
7		Danish,Estonian,Finnish,German,Japanese,Nigerian,Swedish
8	1,2,5,6,8,1889,67,70,239,241,385,390,1999	African American,Argentine,Chinese,Chuvash,Dagestan,East African,Eskimo,Estonian,Finnish,French,Frisian,Georgian,German,Guatemalan,Hawaiian,Indian,Indonesian,Jewish,Korean,Lappish,Latvian,Mayan,Mexican,Namibian,Peruvian,Puerto Rican,Russian,Siberian,South African,South American,Spanish,Sudanese,Swedish,Tuva,US-American,Ukrainian,Uzbek,Vietnamese
8*	1,2,8	Chinese,Estonian,Finnish,Lappish
8A		
9	1,3,4,15,47A	Abkhaz,Algerian,Argentine,Basque,Bulgarian,Burmese,Catalan,Congolese,Czech,Estonian,Finnish,French,Frisian,German,Greek,Indian,Irish,Italian,Japanese,Jewish,Karelian,Lappish,Macedonian,Malaysian,Maltese,Mayan,Mexican,Mordvinian,Moroccan,Namibian,North African,Norwegian,Ossetian,Palestinian,Polish,Portuguese,Puerto Rican,Sardinian,Serbian,Siberian,Slovakian,South African,Spanish,Sri Lankan,Sudanese,Swedish,Tadzhik,Tanzanian,Turkish,Yakut
10***		Algerian,Indian,Moroccan,Norwegian,Rumanian,Serbian,Spanish,Tuva
15	1,2,3,4,5,34,41,47A,210	African American,Algerian,Bulgarian,Byelorussian,Cape Verdian,Catalan,Central African,Cheremis/Mari,Chuvash,Congolese,Dominican,Dutch,East African,Egyptian,Eritrean,Estonian,Faeroese,Finnish,Flemish,French,Frisian,Georgian,German,Greek,Indian,Irish,Italian,Japanese,Jewish,Karelian,Lappish,Latvian,Lithuanian,Livonian,Macedonian,Mordvinian,Norwegian,Oman,Ossetian,Portuguese,Puerto Rican,Rumanian,Russian,Scottish,Slovene,Sorbian,South African,Spanish,Sudanese,Swedish,Syrjanian,Tadzhik,US-American,Ukrainian,Walloon,Wepsian,West Indies,Wotian,Yakut
15*		Catalan,Estonian,Finnish,Flemish,French,Greek,Indian,South African,South American,Swedish,Syrian
15**		
20		
20A	20C,21,136A,154,223,1889,81,84	Abkhaz,Bulgarian,Buryat,Cheremis/Mari,Croatian,Dagestan,Estonian,Finnish,Frisian,Georgian,German,Greek,Hungarian,Irish,Jewish,Kalmyk,Kara-Kalpak,Karelian,Kazakh,Kurdish,Lappish,Latvian,Lithuanian,Livonian,Mexican,Mordvinian,Moroccan,Ossetian,Palestinian,Portuguese,Rumanian,Russian,Serbian,Slovene,Turkish,US-American,Ukrainian,Votyak,Wepsian,West Indies
