parent	child
A0.	A610.
A0.	A631.
A0.	A810.1.
A0.	A830.
A0.	A923.
A0.	A1187.
A1.1.	A220.
A2.2.	A1270.
A5.	A73.
A7.	A32.
A12.1.	A111.3.0.1.
A12.1.	F547.2.1.
A13.1.1.	A1245.4.
A13.1.1.	B19.2.
A15.3.1.	A1.
A18.	A137.
A18.2.	A131.6.
A18.2.	F545.2.2.
A18.5.	A137.1.
A27.	A114.2.
A32.	A7.
A32.1.	A32.2.
A32.3.	A32.3.1.
A33.1.1.	A63.
A33.2.	A132.6.2.
A33.2.	B450.
A33.3.1.	B481.3.
A33.3.1.	K2375.
A33.4.1.	A36.
A33.4.1.	B11.
A33.4.1.	B13.
A33.4.1.	B32.
A43.	A812.1.
A43.	A810.1.
A43.	A835.
A43.	G303.
A50.	A106.
A50.	A162.
A50.	A525.
A50.	A716.
A50.	A810.
A50.	A1750.
A50.	G11.0.1.1.
A50.	G303.
A50.1.	A63.
A50.1.	G303.1.4.
A52.0.1.	V230.
A52.0.8.	G303.1.4.2.
A60.	A1217.1.
A63.1.	A1335.10.
A63.4.	A33.1.1.
A63.4.	A33.3.1.
A63.4.	A106.2.
A63.4.	A1750.
A63.4.1.	A2032.
A63.4.1.	A2033.
A63.7.1.	A63.
A73.	A5.
A76.	A192.
A100.	A499.
A100.	A199.
A100.	A0.
A100.	A2434.2.2.
A100.	D42.
A100.	D42.1.
A100.	D1380.3.
A100.	D1981.1.
A100.	E155.2.
A100.	F63.
A100.	F251.1.
A100.	V30.1.
A101.1.	A610.
A102.1.	D1810.0.1.
A103.	A1216.
A103.	A1271.3.
A106.	A50.
A106.	F531.7.1.
A106.1.	A525.
A106.1.	A1750.
A106.1.	A1081.
A106.2.1.1.	A300.
A107.	A162.1.0.1.
A107.	A1611.5.4.3.
A107.	A1659.1.
A107.	F200.
A107.	F531.
A107.	S262.
A107.	Z100.1.
A108.1.	A310.
A108.1.	A487.
A108.1.	E481.1.1.1.
A108.1.	F129.7.
A108.1.	V11.6.
A110.	F413.
A110.	T541.4.
A111.1.	A116.
A111.1.	A485.1.
A111.3.1.	A31.
A112.	T541.4.
A112.1.	T410.
A112.5.	T541.12.
A112.7.	A161.5.
A112.7.1.	A112.7.2.
A112.8.	A164.2.
A112.8.	F252.4.1.
A112.8.	T481.
A113.	A131.
A113.	A132.
A113.	B2.
A114.1.	A1261.1.
A114.1.	T547.1.
A114.1.1.	A1211.2.
A114.1.1.	A1262.
A115.1.	A605.
A116.	A515.1.1.
A116.	T685.
A116.2.	A485.1.
A120.	D1981.1.
A120.	E251.4.4.
A120.2.	F234.0.2.
A120.2.	F237.
A120.2.	K1811.
A121.	A760.
A123.	E652.
A123.1.1.	F524.1.
A123.2.	A282.0.1.1.
A123.3.1.	F512.2.2.
A123.4.1.1.	D992.
A123.4.1.1.	F511.0.2.2.
A123.5.1.	F516.2.
A124.	A220.
A124.	D1162.
A124.	D1645.
A124.	F541.1.
A124.	F574.
A125.	D42.
A125.1.	A485.1.
A125.1.	F234.2.1.
A125.1.1.	A485.1.
A125.1.1.	F233.3.
A125.1.1.	F234.2.5.
A125.3.	F544.3.1.
A128.	E33.
A128.	S160.
A128.2.	A1075.
A128.2.	D1273.0.4.
A128.2.	D2061.2.1.
A128.2.	D2071.
A128.2.	F512.1.
A128.2.	F531.1.1.1.
A128.2.	F541.
A128.2.	G121.1.
A128.2.	G213.1.
A128.2.1.	A955.5.
A128.2.1.	D2071.
A128.3.	F516.1.
A128.3.	F517.
A128.3.1.	F517.1.1.
A128.3.1.	S162.
A128.4.	A172.
A128.4.	A282.1.
A128.4.	C563.2.
A128.4.	D996.
A128.4.	F515.
A128.4.	F526.
A128.4.	F552.
A128.4.	P16.2.
A128.4.	S161.
A131.	A113.
A131.	B2.
A131.	F526.1.
A131.3.1.	B29.4.1.
A131.3.2.	F511.2.2.1.
A131.3.2.	F514.3.
A131.3.3.	A132.
A132.	A113.
A132.	A522.
A132.	D113.1.2.
A132.	D133.4.1.
A132.	D142.2.
A132.	D197.1.
A132.	E611.2.1.
A132.	F234.1.
A132.1.	B176.
A132.1.	F234.1.7.
A132.3.1.	B181.
A132.3.1.	C756.4.
A132.3.1.	F234.1.8.
A132.3.1.	Q541.4.
A131.6.	F234.1.4.
A132.6.1.	D150.
A132.6.1.	E732.
A132.6.1.	F234.1.15.
A132.6.1.	V1.3.10.
A132.9.	D133.2.
A132.9.	D133.4.1.
A132.9.	D1812.3.3.6.
A132.9.	E611.2.1.
A132.9.	F234.1.14.
A133.	A128.
A133.2.	F531.3.5.
A134.	E651.
A134.	F535.
A136.1.	A155.
A136.1.	B557.
A136.1.2.1.	A171.1.
A136.1.2.1.	B15.6.3.
A136.1.5.	B45.
A136.2.	B558.
A136.3.	A724.
A136.3.	F861.2.1.
A137.3.1.	F531.6.15.6.
A137.5.	D1171.
A137.7.	A132.
A137.7.	B182.
A137.9.	A137.10.
A138.	C431.
A138.	C432.
A139.3.	B11.
A139.4.	E251.
A139.5.2.	A1142.1.
A140.	A181.
A141.	A1402.
A141.1.	D1620.
A141.4.	A831.1.
A142.	A451.
A142.	A167.
A142.	A451.1.
A142.	F451.3.4.2.
A142.	F531.6.9.
A142.	K1816.12.
A142.	L113.6.
A142.	P447.
A143.	P456.
A144.	A454.
A144.	A454.1.
A144.	F274.
A144.	P424.
A145.	F610.
A147.	A165.
A151.	A102.5.
A151.	A661.1.
A151.	F130.
A151.	F210.
