motif_id	text
A0.	Creator. For a general bibliography of creation myths, see Alexander N. Am. For bibliographies of North American Indian mythologies arranged by areas, see Thompson Tales 272 n. 1; **Feilberg Skabelses og Syndflodssagn; Jewish: Neuman. Creation of universe by creator. Pre-existing world of gods above. God and devil fly together over primeval water. Creation of earth by creator. Ocean from creator's sweat. Creator appoints chief for each class of created things: Lucifer for demons, Zion for mountains, etc. A1210, Creation of man by creator.
A1.	Identity of creator.
A1.1.	Sun-god as creator.
A1.2.	Grandfather as creator.
A1.3.	Stone-woman as creator.
A1.4.	Brahma as creator.
A2.	Multiple creators.
A2.1.	Three creators.
A2.2.	First human pair as creators.
A3.	Creative mother source of everything.
A5.	Reason for creation. Lonely creator.
A5.1.	Gods make earth to have place to rest their feet.
A7.	Creator's descendants.
A7.1.	Creator has two sons.
A10.	Nature of the creator.
A11.	Invisible creator.
A11.1.	Invisibility of creator learned from the impossibility of staring at the sun, his servant.
A12.	Hermaphroditic creator. The creator is half man and half woman or is thought of as both male and female. Am.
A12.1.	A111. God of double sex. Hermaphroditic pygmies. Male and female creators.
A13.	Animal as creator.
A13.1.	Beast as creator.
A13.1.1.	Cow as creator. Mankind from salty stone licked by cow. Nectar yielding COW.
A13.2.	Bird as creator.
A13.2.1.	Raven as creator.
A13.2.2.	Eagle as creator of man. Calif.
A13.2.3.	Black-winged bird as creator.
A13.3.	Insect as creator.
A13.3.1.	Spider as creator.
A13.3.2.	Beetle as creator. So. Am.
A13.4.	Reptile as creator.
A13.4.1.	Snake as creator.
A13.4.2.	Worm as creator.
A15.	Human creator.
A15.1.	Female creator.
A15.1.1.	Old woman as creator.
A15.2.	Brothers as creators. So. Am.
A15.3.	Old man as creator.
A15.3.1.	Old man with staff as creator (cf. Old man with staff as creator (cf. A1.2).
A15.4.	Artisan as creator.
A15.4.1.	Potter as creator.
A17.	Angel as creator.
A18.	Pictorial representations of creator. Pictorial representations of gods.
A18.1.	Creator with dragon's head.
A18.2.	Creator with two horns on head. Horned god. Horns on forehead.
A18.3.	Dwarfish creator.
A18.4.	Creator clothed in bear-skin (or in leaves).
A18.5.	Creator with hammer and chisel in hands. God with hammer.
A18.6.	Creator with sun and moon in hands.
A19.	Nature of creator miscellaneous.
A19.1.	Sun and moon (man and wife) as creators. So. Am.
A19.2.	Creator with appearance of Negro.
A20.	Origin of the creator.
A21.	Creator from above.
A21.1.	Woman who fell from the sky. from the sky, is caught by birds, water. She becomes the creator. Cf. Daughter of the sky-chief falls and lowered to the surface of the *Iroquois: Thompson Tales n. 27.
A21.2.	Old man from sky as creator. Old man with his wife comes from the sky. Are the first couple on earth. Have seven sons and seven daughters. Each son marries a daughter.
A22.	Creator comes out of chaos.
A23.	Creator offspring of dual powers of nature.
A25.	Creator from below. God rises from beneath (the center of the spiritual world) and creates the world.
A25.1.	Creator emerges from lake. So. Am.
A26.	Creator comes from certain direction.
A26.1.	Creator comes from east.
A27.	Creator born from egg. God born from egg.
A30.	Creator's companions.
A31.	Creator's grandmother. Casually mentioned in the course of the creation myth.
A32.	Creator's family.
A32.1.	Creator's son. So. Am.
A32.3.	Creator's wife. So. Am. Creator's wife seduced by his son. So. Am.
A32.3.2.	Creator beats his wife while intoxicated from beverage he invents. So. Am.
A33.	Animal as creator's companion.
A33.1.	Beast as creator's companion.
A33.1.1.	Creator's dog.
A33.2.	Bird as creator's companion. Goddess in form of bird. Helpful birds.
A33.3.	Insect as creator's companion.
A33.3.1.	Bee as God's spy. God, the creator, sends a bee to overhear the devil's secrets. Secrets learned by deception.
A33.4.	Other animal companions of creator.
A33.4.1.	Armadillo as creator's companion. So. Am. Dragon. Unicorn. Phoenix.
A37.	Joint creators.
A37.1.	Falcon and crow as joint creators. Calif.
A38.	Heavenly bodies as creator's companions.
A38.1.	Creator's companions: sun and moon.
A40.	Creator's advisers.
A41.	Men as God's advisers.
A42.	Angels as God's advisers.
A42.1.	Seraphim as creator's advisers.
A42.1.1.	God consults two angels on creation.
A42.2.	God consults mercy on his right and justice on his left.
A43.	Devil as adviser of God. Devil as Earth Diver. God and Devil fly together over primeval water. Devil.
A44.	Tora as God's adviser.
A45.	Souls of pious as Creator's advisers.
A50.	Conflict of good and evil creators. Opposition of good and evil gods. Conflict of the gods. Good and bad culture heroes. Dispute at creation of sun. God plans two suns; devil persuades otherwise. Animals created through opposition of devil to God. As result of fraud, Saturn swallows stone instead of infant Jove. Devil.
A50.1.	Creation of angels and devils. Devil as marplot at creation. The devil creates other devils.
A51.	Creation of devil(s) (cf.
A52.	Creation of angels.
A52.0.1.	V230. Angels. Angels created to execute God's will.
A52.0.2.	Degraded gods become angels.
A52.0.3.	Angels existed prior to creation.
A52.0.4.	Angels are transformed souls of the pious.
A52.0.5.	Angels created from three elements.
A52.0.6.	Angels created from words uttered by God.
A52.0.7.	God drops water from his finger and the drops become angels. Lucifer imitated God and created devils. Lithuanian: Balys Legends No. 2.
A52.0.8.	God created angels by striking one small stone with another. Lucifer created devils by imitation. Devils are created by striking two stones together.
A52.1.	Creation of individual angels.
A52.1.1.	Angel of death created by God.
A52.1.2.	Angel Michael created from fire.
A52.1.3.	Angel Gabriel created from snow.
A52.1.4.	Angel Raphael created from water.
A52.1.5.	Angel of destruction created from hail and fire.
A52.2.	Time of creation of the angels.
A52.2.1.	Angels created on first day of creation.
A52.2.2.	Angels created on second day of creation.
A52.2.3.	Angels created on third day of creation.
A52.2.4.	Archangels created on first, angels on third day of creation.
A52.2.5.	Angels created on fifth day with other winged creatures.
A52.3.	Material of which angels are created (fire, water and snow).
A54.	Rebel angels.
A54.1.	Angel of sea rebels at world's creation; put to death by God.
A60.	Marplot at creation. An evil opponent attempts to undo or mar the work of the creator. Am. Angels oppose creation of man.
A61.	Coyote as marplot at creation.
A63.	Devil as marplot at creation.
A63.1.	Devil works during God's sleep at creation. Men die because a snake comes to prey on mankind while creator rests.
A63.2.	Devil plans to drown God at time of creation.
A63.3.	Devil and God wrestle at time of creation.
A63.4.	Devil and God create animals. Wolf created as God's dog. The devil creates goats to destroy things. Bee as God's spy overhears devil's secrets. Revolt of Evil Angels against God. Animals created through opposition of devil to God.
A63.4.1.	God and the devil torment each other with their creations. Devil pesters God with gnats. God makes a fire and safeguards himself; God plagues the devil with fleas devil is unable to find means of protecting himself. Creation of flea. Creation of gnat.
A63.5.	Lucifer causes fall of man.
A63.5.1.	Satan seduces Adam to sin because he is jealous of him.
A63.6.	Devil in serpent form tempts first woman (Satan and Eve).
A63.7.	Rebel god is author of all poisonous things.
A63.7.1.	Poisonous water created by the devil.
A63.8.	Satan attempts to create another world.
A67.	God makes things and tosses them into the air; what he catches is good for mankind, what opponent catches is bad.
A70.	Creator: miscellaneous motifs.
A71.	Creator tries to devour his son, the culture hero. Am.
A72.	Original creator followed by transformers. These demigods change the original creation into the present forms. for work of the transformers, with references.
A73.	Lonely creator. The creator is tired of solitude and therefore inaugurates the creation. So. Am. Reason for creation.
A74.	Reluctant creator.
A74.1.	Creation on condition that Israel accept Tora.
A74.2.	Creator repents of creating certain things.
A75.	Creator as ancestor of heaven and earth.
A76.	Creator's death.
A77.	Creator's works survive him.
A78.	Creator goes to make afterworld. Calif.
A81.	Creator goes to sky. Calif.
A84.	Creator of animals.
A84.1.	Creator of buffaloes.
A85.	Creation match between goddess-wife, god-husband.
A87.	Creator drunk from beverage he invents. So. Am.
A100.	Deity. The gods in general. Creator. Why foxes do not live on a certain island: driven out by a god. God in guise of mortal. God transformed to giant with three heads and six arms. Head of divinity as protection of land. Magic invisibility of gods. Person carried to upper world by god. Fairies as descendants of early race of gods. The eaten god.
A101.	Supreme god. One god chief of all other gods. No.
A101.1.	Supreme god as creator (cf. Creation of universe by creator.
A102.	Characteristics of deity.
A102.1.	Omniscient god. So. Am. Omniscience of a god.
A102.2.	All-seeing god.
A102.3.	Immutable god.
A102.4.	Omnipotent god.
A102.5.	Omnipresent god.
A102.6.	Eternal god.
A102.7.	Holy god.
A102.8.	Sleepless god.
A102.9.	Invisible god.
A102.10.	Unity of God.
A102.11.	Purity of God.
A102.12.	Perfect God.
A102.13.	Loving kindness of God.
A102.14.	Goodness of God.
A102.15.	Modesty of God.
A102.16.	Justice of God.
A102.17.	Anger of God.
A102.18.	Imperfect god, subject to death and rebirth.
A102.19.	Conflict between God's justice and mercy.
A103.	Father-god. Man as offspring of creator. First parents children of god.
A104.	The making of gods.
A104.1.	Living person becomes god. I passim.
A104.2.	Dead body becomes god. Hawaii: Beckwith Myth 2.
A104.3.	Miscellaneous objects become gods. Hawaii: Beckwith Myth 2.
A104.4.	Spirits become gods.
A106.	Opposition of good and evil gods. Conflict of good and evil creators. Giants and gods in fight.
A106.0.1.	Gods and the demons quarrel over supremacy.
A106.1.	Revolt of bad gods against good. Good and bad culture heroes. Animals created through opposition of devil to God. Battle of gods at end of world.
A106.1.1.	Goddess rebels against her father for forbidding her marriage.
A106.2.	Revolt of evil angels against God.
A106.2.1.	Revolting devil banished to hell.
A106.2.1.1.	Banished devil appears on earth only on day of dark moon. God of the underworld.
A106.2.1.2.	Demon (opposed to God) allowed to earth four times a year (but must let people know who he is and not deceive them).
A106.2.2.	Satan's fall from heaven.
A106.3.	Created beings rebel against God.
A107.	Gods of darkness and light. Darkness thought of as evil, light as good. Recurrent battle. Fairies. Giant. Names of giants (Fomorians) with sinister significance.
A108.	God of the living and the dead in the otherworld.
A108.1.	God of the dead. God of the world of the dead. God of death. King of the land of the dead. Voyage to isle of the dead. Sacrifice to the dead.
A109.	Deity: miscellaneous motifs.
A109.1.	God as a triad.
A109.2.	Goddess as mother of Pacific Ocean.
A110.	Origin of the gods. Origin of spirits. Birth from person's head.
A111.	Parents of the gods.
A111.1.	Mother of the gods (cf. Goddess of war.
A111.2.	Father of the gods.
A111.3.	Ancestor of the gods.
A111.3.0.1.	God of double sex carries within him seed of gods.
A12.	Hermaphroditic creator.
A111.3.1.	God dwells with his grandfathers.
A111.3.2.	Sea creatures as ancestors of goddess.
A111.3.3.	Great bird as ancestor of gods.
A112.	Birth of gods. Birth from head.
A112.1.	God from incestuous union. Incest.
A112.1.1.	God from father-daughter incest. Adonis. Boberg.
A112.1.1.1.	Goddess of music and dance born of incestuous union (Brahma and daughter).
A112.2.	Male and female creators beget gods.
A112.3.	Gods born from various parts of creator's body.
A112.4.	God as son of giant.
A112.4.1.	God as son of giantess.
