Skipped line. No motif ID found. Original line: F645.	Marvelously wise man.
Skipped line. No motif ID found. Original line: J10.	Wisdom (knowledge) acquired from experience.
Skipped line. No motif ID found. Original line: J11.	Shipwrecked shepherd distrusts the sea. He had formerly envied sailors. Wienert FFC LVI 75 (ET 407), 110 (ST 219); Halm Aesop No. 370.
Skipped line. No motif ID found. Original line: J11.1.	Man bitten by snake fears snake-like rope. Jewish: Neuman.
Skipped line. No motif ID found. Original line: J12.	Young ass avoids food eaten by animals before being slaughtered. Runs to his mother and asks to have all remains of the hog's food taken out. Wienert FFC LVI 72 (ET 374), 110 (ST 221); Chauvin III 51 No. 7.
Skipped line. No motif ID found. Original line: J13.	Young sparrows have learned to avoid men. Sparrow quizzes his four young as to how to avoid danger from men. Their year of ex- perience has taught them enough. BP III 239 (Gr. No. 157); Hervieux Fabulistes latins II 546 No. 70.
Skipped line. No motif ID found. Original line: J14.	Old racehorse in mill laments vanity of youth. Wienert FFC LVI *72 (ET 365), 140 (ST 466); Babrius No. 29; Halm Aesop No. 174.
Skipped line. No motif ID found. Original line: J15.	Serpent (bird) having injured man refuses reconciliation. He knows that neither can forget their injuries. Chauvin II 94 No. 43, 102 No. 62; Bødker Exempler 291 No. 47, 301 No. 67; Wienert FFC LVI *69 (ET 331), *127 (ST 352); Babrius No. 167; Jacobs Aesop 201 No. 6; Halm Aesop Nos. 96, 251, 350; cf. BP II 459; Spanish Exempla: Kel- ler.
Skipped line. No motif ID found. Original line: J16.	Dove disregards experience and loses brood. Rebuilds her nest in the place where she has lost former brood. Chauvin II 83 No. 6; Bød- ker Exempler 274 No. 7, 306 No. 82; Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: J2050.	Absurd short-sightedness.
Skipped line. No motif ID found. Original line: J17.	Animal learns through experience to fear men. In spite of the warning of another animal he approaches man and is shot. *Type 157; BP II 96; India: *Thompson-Balys; Africa (Hottentot): Bleek 47 No. 23; American Negro: Harris Nights 33 No. 7, 330 No. 57; Ja- maica: Beckwith MAFLS XVII 262 No. 62.
Skipped line. No motif ID found. Original line: J17.1.	Tiger, jackal, and bear each learn to fear man. They report him as head-thumper (he has beaten the tiger), turn-twister (he has swung jackal by tail), and top-tumbler (he has fallen out of tree on bear). India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: K1710.	Ogre (large animal) overawed.
Skipped line. No motif ID found. Original line: J18.	Wisdom acquired from beating. Incognito prince, beaten for his courtesy, realizes his folly and returns home. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: K1812.	King in disguise.   ## p. 10 (#14) ##############################################  10 Motif-Index of Folk-Literature
Skipped line. No motif ID found. Original line: J21.	Counsels proved wise by experience. *Types 910A, 910B, 910C, 910D; *Cosquin Études 85ff., 100ff.; Icelandic: *Boberg; Jewish: *Neuman; India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.1.
Skipped line. No motif ID found. Original line: J154.	Wise words of dying father. Counsel proved wise by experience.
Skipped line. No motif ID found. Original line: J163.4.	Good counsels bought.
Skipped line. No motif ID found. Original line: J171.	Proverbial wisdom: counsels.
Skipped line. No motif ID found. Original line: J1511.6.	The porter's revenge for the three wise counsels.
Skipped line. No motif ID found. Original line: K604.	The three teachings of the bird (fox).
