motif_id	cultural_term
A0	For a general bibliography of creation myths
A0	see Alexander N. Am. 278 n. 15. For bibliographies of North American Indian mythologies arranged by areas
A0	see Thompson Tales 272 n. 1; **Feilberg Skabelses og Syndflodssagn; Jewish: Neuman. Mexican Indian: (Tarascan) Alexander Lat. Am. Armenian: Ananikian 20; African: Werner African 127ff.
A0	**Frobenius and Fox
A0	(Loango): Pechul l-Loesche 267; Hindu: Penzer I 10; Buddhist myth: Malalasekera II 338; Icel.: Boberg
A0	MacCulloch Eddic 326; Irish myth: Cross.
A1.1	Egyptian: M' ller 69; Persian: Carnoy 260.
A1.2	S. Am. Indian (Paressi): Mi traux BBAE CXLIII (3) 359
A1.2	(Guaray' ): Mi traux RMLP XXXIII 147.
A1.3	Paressi: Mi traux BBAE CXLIII (3) 359.
A1.4	Buddhist myth: Malalasekera II 338.
A2.1	Icel.: Boberg
A2.1	MacCulloch Eddic 327. Oceanic: Dixon 24; Hawaii: Beckwith Myth 42.
A2.2	(Cf. +A1270.) Chinese: Eberhard FFC CXX 115 No. 70.
A3	India: Thompson-Balys.
A5.1	Hawaiian: Beckwith Myth 43.
A7	(Cf. +A32.)
A7.1	Guaray' : Mi traux RMLP XXXIII 147.
A10	India: Thompson-Balys.
A11	Jewish: Neuman. Am.
A11.1	Jewish: Neuman.
A12	*Lang Myth I 200f.
A12	299; G' ntert 324. Greek: Eisler 396; Egyptian: Maspi ro Histoire ancienne des peuples de l 'Orient classique 141; Indian (Hindu): Keith 75. Aztec: Alexander Lat. Am.
A12.1	Japanese: Anesaki 222; Hawaii: Henry Ancient Tahiti 345.
A13.1.1	*Schrts der Altgermanische Kulturprobleme 132; *G' ntert Weltkts nig 365ff. Icel.: MacCulloch Eddic 63
A13.1.1	324.
A13.2	Hawaii: Henry Ancient Tahiti 345.
A13.2.1	Eskimo: Nelson RBAE XVIII 454; Koryak: Jochelson JE VI 218.
A13.2.2	Calif. Indian: Gayton and Newman 94.
A13.2.3	Greek: Fox 4.
A13.3.1	India: Thompson-Balys.
A13.3.2	So. Am. Indian (Lengua): Mi traux BBAE CXLIII (1) 367.
A13.4.1	Mono-Alu
A13.4.1	Fauru
A13.4.1	Buin: Wheeler 67.
A13.4.2	Guaray' : Mi traux BBAE CXLIII (3) 437.
A15.1	Chibcha: Kroeber BBAE CXLIII (2) 908.
A15.1.1	Lepers Is.: Codrington II 372f.
A15.2	So. Am. Indian (Guapori  River): Levi-Strauss BBAE CXLIII (3) 379.
A15.3.1	(cf. +A1.2.) . Inca: Rowe BBAE CXLIII (2) 316.
A15.4.1	India: Thompson-Balys.
A17	Jewish: Neuman.
A18.1	Chinese: Werner 77.
A18.2	Chinese: Werner 76.
