D94.	Transformation: man to ogre.
D95.	Transformation: man to demon.
F402.	Evil spirits. Demons. G10-
G399.	KINDS OF OGRES G10-
G99.	Cannibals and cannibalism. G10-
G49.	REGULAR CANNIBALISM
G10.	Cannibalism. *Types 327, 406*; BP I 115; *Cox Cinderella 499; *Saintyves Perrault 299ff.; *Penzer X 181 s.v. "Human flesh"; *Fb “menneskekjød”; *Freytag Am Ur-Quell N. F. I 179; *MacCulloch Childhood 279; Krause Der Ur-Quell I 1; *Cosquin Contes indiens 208; **DeCock Volkssage 64; *Laistner Rätsel der Sphinx II 87; Krap- pe The Modern Language Review XLIII (1948) 54ff. Irish myth: *Cross; Lappish: Qvigstad FFC LX 57 No. 135; Breton: Sébillot In- cidents s.v. “anthropophages," "diable”; Jewish: Neuman; India: *Thompson-Balys; Buddhist myth: Malalasekera I 189, 588, II 32, 407, 676, 824; Chinese: Eberhard FFC CXX 21; Oceanic (Indonesia, Melanesia, New Zealand, Tahiti, Hawaii): Dixon 61, 63, 69, 86, 130ff., 227ff.; Easter Island: Métraux Ethnology 76ff., 83f.; Maori: Clark 100, 159; Eskimo (Greenland): Rasmussen III 272; Siberian: Holmberg Siberian 388; N. A. Indian: *Thompson Tales 353 n. 274, (Cherokee): Alexander N. Am. 68, (Southern Ute): Lowie JAFL XXXVII 74 No. 46; Africa: Werner African 242, (Basuto): Jacottet 8, 122, 204, 208, 258, (Angola): Chatelain 97, 103, (Fang): Einstein 65, (Bushman): Bleek and Lloyd 199, (Zulu): Callaway 47, 74, 142, 154, *158, 181, (Ila, Rho- desia): Smith and Dale II 413, (Kaffir): Theal 126, 139f., Kidd 225, (Benga): Nassau 227 No. 34, (Congo): Weeks 203, (Mpongwe): Nassau 72 No. 15.
A1516.	Origin of cannibalism.
B524.1.1.	Dogs kill attacking cannibal.
C227.	Tabu: eating human flesh.
D1335.2.1.	Blood as magic strengthening drink.
D1361.8.	Heart of unborn child renders person invisible.
F811.24.	Man-eating tree.
G312.	Cannibal ogre.
G312.1.	Pisāca. Drinks blood and eats human flesh.
G691.	Bodies of victims in front of ogre's house.
H46.	Cannibal recognized by cloud of dust raised.
K619.1.	Cannibals advised to be absent while hero is being cooked.
K827.2.	Cannibals persuaded to take snuff: killed.
K895.	Cannibals enticed to climb slip- pery barricade; fall.
K1614.	Father delivering daughter to be eaten by cannibal is himself eaten.
K1721.	Hero proves himself a cannibal by trick vomit-exchange.
S110.	Murders.
G11.	Kinds of cannibals.
A711.2.	Sun as a cannibal.
G11.0.1.	Cannibalistic god. Irish myth: Cross.
G11.0.1.1.	As result of fraud, Saturn swallows stone instead of infant Jove. Irish myth: Cross.
