A521.	Culture hero as dupe or trickster.
A852.	Making the world smaller. God tricks the devil.
J2300.	Gullible fools.
Q260.	Deceptions punished. KO. Contest won by deception-general. Irish myth: *Cross.
A163.	Contest in beauty between goddesses.
A2250.	Animal characteri- stics: result of contest.
D1719.1.	Contest in magic.
H217.	Decision made by contest.
H331.	Suitor contests: bride offered as prize.
H500.	Test of cleverness or ability.
K850.	Fatal deceptive game.
N51.	Wager: who I can call three tree names first. The bear names different varieties of the same tree, so that the fox wins the wager. Kl. Contest won by magic. India: Thompson-Balys; S. A. Indian (Chincha, Peru): Alexander Lat. Am. 231.
D1830.	Magic strength.
K1.1.	Magic animal wins contest for man.
K1.1.1.	Magic bullock wins fight for master. India: Thompson-Balys.
H1588.	Contest of dogs.
K2.	Animals help man in contest. Type 1081; S. A. Indian (Chincha, Peru): Alexander Lat. Am. 231.
B570.	Animals serve man.
K2.1.	Fortune to go to direction cat jumps. King will give wealth to person toward whom the cat jumps. Clever woman has brought mouse along and thus entices the cat. India: Thompson-Balys.
B150.	Oracular animals.
J1908.2.	Cat transformed to maiden runs after mouse.
K3.	Substitute in contest. Irish myth: Cross; Icelandic: *Boberg; N. A. Indian (Seneca): Curtin-Hewitt RBAE XXXII 234 No. 46.
F601.2.	Extraordinary companions help hero in suitor tests.
K528.	Substitute in ordeal. An ordeal (usually dangerous) is escaped by deceptively providing a substitute.
K1840.	Deception by substitution.
K1845.	Substitute in battle.
K3.1.	Relative substitutes in contest. Africa (Hottentot): Bleek 32 No. 16.
K11.1.	Race won by deception: relative helpers.
K3.2.	Young knight substitutes for old man in tournament. Italian Novella: Rotunda.
H331.2.	Suitor contest: tournament.
K3.2.1.	Supernatural substitute in tournament for pious warrior. Tupper and Ogle Walter Map 36.
Q20.	Piety rewarded.
K3.3.	Woman substitutes for husband in combat. Italian Novella: Rotunda.   ## p. 235 (#239) ############################################  K. Deceptions 235
K3.4.	Wise man disguised as monk beats learned heretic in debate. Italian Novella: Rotunda.
H507.	Wit combat.
K1810.	Deception by disguise.
K5.	Contest with magician won by deception. India: Thompson-Balys.
D1719.1.	Contest in magic.
K69.1.	Contest with magician in bringing grain out of closed bamboo.
K10.	Athletic contest won by deception.
K785.	In duel with long poles the ogre is forced into the pig-sty.
K11.	Race won by deception. *Dh_IV_46ff.; *BP III 339ff.; *Von den Steinen Zs. f. Vksk. XXV 275; *Fb “væddeløb"; Icelandic: MacCulloch Eddic 93, Boberg; Missouri French: Carrière; N. A. Indian (Southern Ute): Lowie JAFL XXXVII 70 No. 40.
K11.0.1.	Man challenges devil to race. Cheats him.
G303.	Devil. -
