B278.	Captured animal ransoms self.
D2078.	Imprisoning by magic.
F165.6.1.	Otherworld (fairyland) as place of sorrowful captivity.
F302.3.1.4.	Fairy abducts whomever she falls in love with.
F375.	Mor- tal imprisoned in otherworld (fairyland).
F387.	Fairy captured.
K700.	Capture by deception.
Q385.	Captured animals avenge themselves.
Q433.	Punishment: imprisonment.
V151.1.	Captive released because of ability to recite beginning of Genesis.
R1.	Wild man captured and tamed. *Dickson 116 n. 44, 122; N. A. Indian: *Thompson Tales 319 n. 152.
F567.	Wild man.
R2.	God holds the devil captive for three years. Dh. I 184.
R3.	King imprisons another king's embassy. Thien Motive 10.
R4.	Surprise capture. Irish myth: *Cross.
K2350.	Military strategy.
R4.1.	Enemy surprised while bathing: taken. Irish myth: *Cross.
R5.	Capture on field of battle. Irish myth: Cross; Icelandic: *Boberg; Jewish: Neuman.
R5.1.	Enemy host imprisoned by earthen walls thrown up by hero's chariot wheels. Irish myth: *Cross.
R5.2.	Hero captured by being pressed between shields from all sides. Icelandic: *Boberg.
R6.	Messenger of Death imprisoned. India: Thompson-Balys.
R7.	Men held captive in the Land of Women. (Cf.
F112.	) India: Thomp- son-Balys.
R8.	Gods captured. India: *Thompson-Balys.
R9.	Captivity-miscellaneous.
R9.1.	Sun captured.
R9.1.1.	Sun captured during visit to earth. India: Thompson-Balys.
R9.1.2.	Sun and Moon captured by creditor, thus causing eclipse. India: Thompson-Balys.
R9.1.3.	Sun and Moon imprison each other. India: Thompson-Balys.
R9.2.	Grain and pulse in human form imprisoned by wicked king. India: Thompson-Balys.
R9.3.	Ogress captured and reformed. India: Thompson-Balys.   ## p. 269 (#273) ############################################  R. Captives and fugitives 269
R9.4.	Fire-maiden imprisoned in iron house. India: Thompson-Balys.
R9.5.	Cow imprisoned until it promises not to eat men. India: Thomp- son-Balys.
R9.6.	King imprisons all living creatures. India: Thompson-Balys.
R10.	Abduction. **Feilberg Bjærgtagen (København, 1910), Nissens Hi- storie; **Hdwb. d. Märchens I 541ff.; Irish myth: *Cross; Jewish: *Neuman; N. A. Indian (California): Gayton and Newman 86, (Zuñi): Benedict II 334.
F320.	Fairies carry people away to fairyland.
F420.5.2.2.	Water-spirits abduct person.
F460.4.4.1.	Mountain-men abduct persons.
G303.9.5.	The devil as an abductor.
G440.	Ogre abducts person.
H1385.	Quest for lost persons. K1300, Seduction.
