A1313.	Origin of sex-organs.
A1355.1.	Origin of menstruation-Eve and the serpent.
B754.1.1.	Hyena changes sex yearly.
D10.	Transformation to person of different sex.
D1982.1.	Magic door invisible to women.
F302.3.4.	Fairies entice men and then harm them.
F565.1.	Amazons. Women warriors
M130.	Vows concerning sex.
M369.2.	Prophecies con- cerning love and marriage.
N131.1.	Luck changed after cohabitation.
Q451.10.	Punishment: genitalia cut off.
S176.1.	Mutilation: emasculation.
X700.	Humor concerning sex. TO-
T99.	Love. TO. Love. Irish myth: *Cross.
A475.	God of love.
A475.1.	Goddess of love.
C453.	Tabu: boasting of love-conquest.
D658.	Transformation to seduce.
D856.	Magic object obtained by gaining love of owner.
D1355.	Love-producing magic object.
D1900.	Love induced by magic.
F420.5.1.3.	Water-spirits help lovers.
F585.1.	Fatal enticements of phantom women.
F771.13.	Castle warmed by love. No fire is required because love makes perpetual summer.
G262.0.1.1.	Lamia devours her lover.
G264.	La Belle Dame Sans Merci. Witch entices men with offers of love and then deserts or destroys them.
J491.	Old sweetheart chosen in preference to new.
J1737.	Foolish lover ignorant of mistress's flaws.
J1791.6.	Diving for reflection of beautiful woman.
K1210.	Humiliated or baffled lovers.
K1300.	Seduc- tion.
K1500.	Deceptions connected with adultery.
M369.2.	Prophesies concerning love and marriage.
T1.	Zeus gives man modesty, but it leaves when love enters. Wienert FFC LVI 36; Halm Aesop No. 148.
T2.	The relative pleasures of love. Do men or women have the greater pleasure in sexual intercourse? Man who has been transformed to woman answers that women have the greater pleasure. The goddess blinds him as punishment. Krappe Science of Folklore 6f.; Penzer VII 227; Greek: Frazer Apollodorus I 367 n. 1; India: Thompson-Balys.
J99.1.	Relative pleasure of sexes in love taught by parable. Blinding as punishment.
T3.	Omens in love affairs.
T3.1.	Blue fortunate in love matters. English: Child II 182, 512a.
D1812.5.	Future learned through omens.
Z140.	Color symbolism.
T4.	Person wants to learn art of love.
Q451.7.	
T4.1.	Herdsman to learn art of love so he can become a holy man. India: Thompson-Balys.
T6.	Love as inducement to idolatry. Jewish: *Neuman.
T8.	Sexual desire as original sin. Jewish; Neuman.
T10.	Falling in love. India: Thompson-Balys.
D1314.1.3.	Magic arrow shot to determine where to seek bride.
D1900.	Love induced by magic.
H1381.3.1.2.	Quest for bride for oneself.   ## p. 333 (#337) ############################################  T. Sex 333
T10.1.	Sluggish prince reformed by falling in love. *bin Gorion Born Judas2 IV 38, 276.
T10.1.1.	Gambler reformed by falling in love. Italian Novella: Rotunda.
T10.1.2.	Love transforms crude individual into a polished courtier. Italian Novella: Rotunda.
T10.2.	Angel of love compels man to fall in love. Jewish: Neuman.
T10.3.	Girl continually falling in love. India: *Thompson-Balys.
T11.	Falling in love with person never seen.
H1381.3.1.	Quest for bride.
T11.1.	Love from mere mention or description. *Type 516; *Rösch FFC LXXVII 100; *Chauvin V 132 No. 112; *Penzer X 214 s.v. "Love by mere mention"; Malone PMLA XLIII 399; *Dickson 188 n. 63; Hib- bard 208 n. 18, 226 n. 1; *Cross MPh XII 612 n. 3; Moore PMLA XXIX (1914) 527f.; Fb "hår" IV 241b. Irish myth: *Cross; Ice- landic: *Boberg; Italian: Basile Pentamerone IV No. 7, *Rotunda; India: *Thompson-Balys.
T11.1.1.	Beauty of woman reported to king causes quest for her as his bride. India: *Thompson-Balys; Chinese: Graham.
H1381.3.1.1.	Quest for bride for king.
P15.2.	King demands subject's wife for himself.
T11.2.	Love through sight of picture. *Types 403, 516, 900; *BP I 45ff., 443ff.; *Rösch FFC LXXVII 98; Philippson FFC L 11f.; *Penzer X 214 s.v. "love with a painting", 263 s.v. "picture, falling in love"; Fb "portræt" II 863; *Köhler-Bolte I 127, 520ff., 527; Wesselski Archiv Orientální II 430; Herbert III 204; Oesterley No. 62. English: Wells 81 (Sir Tristrem); Icelandic: *Boberg; Breton: Sébillot Incidents s.v. "portrait"; Missouri French: Carrière; Arabian: Burton Nights S II 194ff.; India: *Thompson-Balys; Chinese: Graham, Eberhard FFC CXX 61f., 252; Japanese: Ikeda; Indonesia: DeVries's list No. 218.
H21.	Recognition through picture.
H1381.3.1.1.1.	Quest for bride for king like picture he has seen.
H1381.3.1.2.1.	Quest for unknown woman whose picture has aroused man's love.
