A1541.	Origin of religious feasts.
A2221.	Animal characteristic: reward for pious act.
A2231.	Animal characteristics: punishment for impiety.
B250.	Religious animals.
J564.	Intemperance in worship.
J1261.	Repartee based on levity toward sacred persons and things.
Q170.	Religious rewards. VO
V99.	Religious services. VO. Religious services. Irish myth: Cross; Icelandic: *Boberg; Nor- wegian: Solheim 22; Jewish: *Neuman.
D1766.	Magic results produced by religious ceremony.
E501.3.8.	Wild huntsman wanders for disturbing church service.
F382.	Exorcising fairies. Fairies disappear when some name or ceremony of the Christian Church is used.
G224.1.	Witch's charm opposite of Christian. Must be "Without God and Holy Mary" instead of "With God, etc."
G243.	Witch's sabbath.
G285.	Witches avoid religious ceremonies.
G304.2.4.1.	Trolls cannot endure church bells.
M183.	Religious vows and promises.
Q20.	Piety rewarded.
V1.	Objects of worship. *Encyc. Rel. Ethics Index 649b; Irish myth: *Cross; Icelandic: MacCulloch Eddic 214, *Boberg.
V1.1.	Worship of particular gods and goddesses.
V1.1.1.	Worship of one god. Jewish: Neuman.
V1.2.	Worship of spirits.
V1.2.1.	Worship of fairies. Irish myth: Cross (
V1.	16,
V1.16.	1); Icelandic: *Boberg.
V1.2.2.	Worship of devil. Irish myth: Cross (
V1.	15,
V1.15.	1).
V1.2.3.	Worship of "disar". Icelandic: *Boberg.
V1.2.4.	Worship of angels. Jewish: *Neuman.
V1.3.	Worship of ancestors. Encyc. Rel. Ethics I 425-67; Irish myth: Cross; Icelandic: Boberg; India: Thompson-Balys; Chinese: Eberhard FFC CXX 411 s.v. "Ahnenfiguren"; Hawaii: Beckwith Myth 160; Society Islands: Henry Ancient Tahiti (Honolulu, 1928) 561; Tua- motu: Stimson MS (T-G. 3/619); Africa (Cameroon): Mansfield 233, (Fang): Trilles 140.
V1.4.	Worship of heavenly bodies. Jewish: Neuman.
V1.4.1.	Worship of the sky. (Cf.
A210.	)
V1.4.2.	Worship of the sun. (Cf.
A220.	) Irish myth: *Cross; Icelandic: Boberg; Jewish: Neuman; India: *Thompson-Balys; Hawaii: Beck- with Myth 12.
V1.4.3.	Worship of moon. (Cf.
A240.	) Jewish: Neuman.
V1.4.4.	Worship of stars. (Cf.
A250.	) Jewish: Neuman; India: Thompson- Balys.   ## p. 429 (#433) ############################################  V. Religion 429
V1.5.	Worship of manifestations in nature.
V1.5.1.	Worship of clouds. (Cf.
A283.	)
V1.5.2.	Worship of thunder. (Cf.
A284.	)
V1.5.3.	Worship of wind. (Cf.
A282.	)
V1.5.4.	Worship of storm. (Cf.
A281.	)
V1.5.5.	Worship of dawn. (Cf.
A270.	)
V1.5.6.	Worship of light. (Cf.
A260.	)
V1.5.6.1.	Worship of rainbow. (Cf.
A288.	)
V1.5.7.	Worship of frost. (Cf.
A289.1.	)
V1.6.	Worship of elements of nature.
