W2.	Good inclinations enter body at puberty. Jewish: Neuman.
W10.	Kindness.. (Cf.
Q40.	) Missouri French: Carrière; Icelandic: *Bo- berg; Jewish: *Neuman.
W10.1.	Saint never drives fly or gnat from his face. Irish myth: *Cross.
W10.2.	Saint gives calf to wolf. Irish myth: Cross.
W11.	Generosity. Irish myth: *Cross; Spanish: Keller, Espinosa Jr. No. 200; Jewish: Neuman; India: Thompson-Balys.
H1552.	Tests of generosity.
H1552.2.	Contest in generosity.
Q42.	Generosity rewarded.
W11.1.	Philanthropist will give his spurs if someone will drive his horse for him. He has given away his coat, etc. to beggars. One finally asks for his spurs. Pauli (ed. Bolte) No. 330.
W11.2.	Munificent monarch. India: Thompson-Balys; Icelandic: *Bo- berg.
W11.2.1.	Emperor thinks day lost when he gives no gifts. Alphabet No. 443; Spanish Exempla: Keller.
W11.2.2.	King will not eat breakfast till gifts are given. India: Thomp- son-Balys.
W11.3.	Man divides money into three parts: (1) for the poor, (2) for pil- grims, (3) for himself and family. Scala Celi 164a No. 921.
H585.1.	The four coins. What he does with the four coins he earns.
W11.4.	Man lets himself be sold as slave so as to practice generosity. Wesselski Archiv Orientální II 429; Italian Novella: Rotunda.
W11.4.1.	Brahmin steals to feed guests (deities). India: Thompson- Balys.
Q45.1.	Angels entertained unawares.
W11.5.	Generosity toward enemy. Italian Novella: Rotunda; Icelandic: Boberg.
W11.5.1.	Ruler pardons his enemies. Italian Novella: *Rotunda.
W11.5.1.1.	Man pardons his assailants. They attack again and are killed. Italian Novella: Rotunda. 31   ## p. 482 (#486) ############################################  482 Motif-Index of Folk-Literature
W11.5.2.	Ruler pardons emissary who has come to murder him. Italian Novella: *Rotunda.
W11.5.3.	Wronged knight conquers enemy and then pardons him. Italian Novella: Rotunda.
W11.5.4.	Conqueror returns defeated man's wife and family to him. Italian Novella: Rotunda.
W11.5.5.	Conqueror spares city. Italian Novella: Rotunda.
W11.5.6.	Ruler reproaches son for bringing him the head of his fallen enemy. Latter given honorable burial. Italian Novella: Rotunda.
W11.5.7.	Man saved through intercession of enemy. Italian Novella: Rotunda.
W11.5.7.1.	Man pays fine for enemy who is falsely accused. Italian No- vella: *Rotunda. K2100 False accusations.
W11.5.8.	Captor contributes to captive's ransom. Italian Novella: Ro- tunda.
W11.5.9.	Warrior gives steed to his enemy. Italian Novella: Rotunda.
W11.5.9.1.	Calumniated woman intercedes for accusers. (Cf.
K2112.	) Italian Novella: Rotunda.
W11.5.9.2.	Man's life spared through the intercession of the daughter he has wronged. He has ordered her killed. Italian Novella: Rotunda.
W11.5.10.	Champion grants requested boon of safe convoy to his ene- mies. Irish myth: Cross.
W11.5.11.	Chieftain spares enemies whom he takes unawares (unarmed). Irish myth: *Cross.
W11.5.11.1.	Chieftain who takes king unawares, spares him on con- dition that chieftain be called "lover" by women of king's tribe. Irish myth: *Cross.
W11.5.12.	Hero in battle refuses to slay charioteers, women, or physi- cians. (Cf.
C867.1.	) Irish myth: Cross.
W11.6.	Ruler generously settles quarrel between loser and finder of money. Italian Novella: Rotunda.
