X0.	Humor of discomfiture.
J1110.	Clever persons.
K800.	Fatal deception.
K1000.	Deception into self- injury.
K1200.	Deception into humiliating position.
K1300.	Seduction.
K1400.	Dupe's property destroyed.
K1500.	Deception connected with adultery.
X11.	Red pepper for the slow ass: man tries it on himself. When, on the advice of a friend, he gives the ass red pepper, the ass runs away. Then he tries it on himself. He runs so fast that he passes the ass. Arriving at home, he says to his wife, "Unload the ass when he comes. I must run through the village a couple of times more." Wesselski Hodscha Nasreddin I 224 No. 64.
X443.	1 Chaplain on bucking mule.
X12.	Man interrupted each time he tries to eat something. *Basset 1001 Contes I 273.
X12.1.	Man continually interrupted from eating answers in rhymed monosyllables. Nouvelles Récréations.
X21.	Accidental cannibalism. A man eats up the dried meat of a Jew on shipboard. It happens that the Jew is carrying his dead father back home for burial in this form. (Cf.
G60.	) *Wesselski Hodscha Nasreddin I 257 No. 193; Italian Novella: Rotunda. Cf. Japanese: Ikeda.
X31.	The dream of marking the treasure. A man dreams that he finds treasure and that he marks the spot with his excrements. Only the latter part of the dream is true. *Wesselski Arlotto II 267 No. 216, Hodscha Nasreddin I 278 No. 314; Lithuanian: Balys Legends No. 788f.; Italian Novella: Rotunda.
X31.1.	
N531.	Treasure discovered through dream. Man dreams that he is rich. Finds cat's excrements. Italian No- vella: Rotunda.
X31.2.	Pig licks sleeping man's lips: man thinks he is being kissed. India: Thompson-Balys.
X32.	Wager with overdressed youths that servant can carry a large bucket of water upstairs. They follow and are soaked when the servant purposely spills the dirty water. Italian Novella: *Rotunda.
X34.	Use of itch-producing ointment. Italian Novella: Rotunda.
J2134.1.	Trickster eats scratch-berries.
X52.	Ridiculous nakedness or exposure.
X52.1.	Woman exposed to ridicule when her wig is snatched off by a monkey. Spanish Exempla: Keller.
X53.	Man given ride on a hemp-dresser. Cheremis: Sebeok-Nyerges.   ## p. 504 (#508) ############################################  504 Motif-Index of Folk-Literature X100-
X199.	Humor of disability.
X100.	Humor of disability. Besides the motifs which follow, the entire series of motifs concerning fools (J1700-J2799) properly belongs here as well as where it is given.
X110.	Humor of deafness.
K1981.1.	Trickster feigns deafness and gets hospitality from miser.
X111.	Deaf men and their answers. *Type 1698; **Aarne FFC XX; *Fb "tunghør"; India: Thompson-Balys. - - -
X111.1.	Deaf persons: search for the lost animal. A inquires for his lost animal. B talks about his work and makes a gesture. A follows the direction of the gesture and happens to find the animals. He returns and offers an injured animal to B in thanks. B thinks that he is blamed for injuring the animals. Dispute. Taken to deaf judge. (Cf.
X111.14.	) *Type 1698A; Aarne FFC XX 16ff.; India: *Thomp- son-Balys.
X111.2.	Deaf peasant: travelers ask the way. Travelers ask their direc- tion. Peasant thinks they want to buy oxen. - Peasant's wife arrives; thinks they say her food is too salty. Daughter-in-law and father- in-law misunderstand each other. *Type 1698B; Aarne FFC XX 28ff.; India: *Thompson-Balys. --
X111.3.	Two persons believe each other deaf. A trickster tells each of two persons before they meet that the other is hard of hearing and must be shouted at. A great shouting takes place, and each thinks the other out of his wits. *Type 1698C; *Aarne FFC XX 29ff.; Wessel- ski Gonnella 118 No. 16; Nouvelles Récréations No. 10; Nouvelles de Sens No. 4.
K1084.	Liar brings about fight between dupes.
X111.4.	Deaf peasant: the wedding invitation. Lord: Good morning, Peter. Peasant: I come from Bingen. L. What is the hog worth? - P. Two weeks from next Sunday (the wedding). — L. Shall I come to the wedding? — P. Three and a half gulden. *Type 1698D; *Aarne FFC XX 35ff.; *Pauli (ed. Bolte) No. 719.
X111.5.	Deaf man on the bridge. Lord: Good day, Caspar. - - Caspar: I am making a reel. — L. Good day, Caspar. - C. It is worth four pence. L. Good day, Caspar. C. Yes, my lord, whenever you wish. Type 1698E; *Aarne FFC XX 38ff. —
X111.6.	The deaf man and the proud nobleman. A nobleman amuses himself at the expense of the deaf man. Finally Nobleman: I wish you a thousand gallows and ropes around your neck. Peasant: My lord, I wish you twice as many. Type 1698F; *Aarne FFC XX 39ff. -
X111.7.	Misunderstood words lead to comic results. In some the people are not really deaf but fail to catch a word; in some they are deaf. Type 1698G; Aarne FFC XX 40, 76. Spanish: Espinosa Jr. No. 189; - India: Thompson-Balys; Indonesia: DeVries's list No. 296.
J1802.	Words in foreign language thought to be insults.
N275.2.	Criminal confesses because of misunderstanding of a dialect.
