motif_id	culture_term
A0	Africa
A0	Armenia
A0	Buddhist
A0	Hindu
A0	Iceland
A0	India
A0	Ireland
A0	Jewish
A0	Mexico
A1.1	Egypt
A1.1	Persia
A1.2	India
A1.2	So. Am. Indian (Paressi)
A1.2	So. Am. Indian
A1.3	So. Am. Indian (Paressi)
A1.4	Buddhist
A2.1	Hawaii
A2.1	Iceland
A2.1	Oceania
A2.2	China
A3	India
A5.1	Hawaii
A7.1	Guaray'
A10	India
A11	Jewish
A11.1	Jewish
A12	Aztec
A12	Egypt
A12	Greece
A12	Hindu
A12	India
A12.1	Hawaii
A12.1	Japan
A13.1.1	Iceland
A13.2	Hawaii
A13.2.1	Eskimo
A13.2.1	Koryak
A13.2.2	California
A13.2.2	India
A13.2.3	Greece
A13.3.1	India
A13.3.2	India
A13.3.2	So. Am. Indian
A13.3.2	So. Am. Indian (Lengua)
A13.4.1	Buin
A13.4.2	Guaray'
A15.1	Chibcha
A15.1.1	Leper's Island
A15.2	India
A15.2	So. Am. Indian
A15.2	So. Am. Indian (Guapori River)
A15.3.1	Inca
A15.4.1	India
A17	Jewish
A18.1	China
A18.2	China
A18.3	China
A18.4	China
A18.5	China
A18.6	China
A19.1	India
A19.1	So. Am. Indian
A19.2	Africa
A19.2	Africa (Luba)
A21.1	Finland
A21.1	Iroquois
A21.2	Ekoi
A22	China
A23	China
A25	Hottentot
A25.1	Chibcha
A25.1	India
A25.1	So. Am. Indian
A25.1	So. Am. Indian (Chibcha)
A26.1	Africa
A26.1	Africa (Luba)
A27	China
A30	Hawaii
A30	Inca
A30	Tahiti
A31	American Indian
A31	India
A32.1	India
A32.1	So. Am. Indian
A32.2	India
A32.3	India
A32.3	Munderuc'
A32.3	So. Am. Indian
A32.3	So. Am. Indian (Munderuc')
A32.3.1	India
A32.3.1	Munderuc'
A32.3.1	So. Am. Indian
A32.3.1	So. Am. Indian (Munderuc')
A32.3.2	Guaray'
A32.3.2	India
A32.3.2	So. Am. Indian
A32.3.2	So. Am. Indian (Guarayos)
A33	India
A33.1.1	Hawaii
A33.2	India
A33.2	Sumatra
A33.2	Tonga
A33.4.1	India
A33.4.1	Munderuc'
A33.4.1	So. Am. Indian
A33.4.1	So. Am. Indian (Munderuc')
A36	China
A37.1	California
A37.1	India
A38.1	Jewish
A40	Jewish
A42	Jewish
A42.1	Jewish
A42.1.1	Jewish
A42.2	Jewish
A43	Siberia
A44	Jewish
A45	Jewish
A50	India
A50	Jewish
A50	Persia
A50.1	Jewish
A52.0.1	Jewish
A52.0.2	Jewish
A52.0.3	Jewish
A52.0.4	Jewish
A52.0.5	Jewish
A52.0.6	Jewish
A52.0.7	Lithuania
A52.0.8	Lithuania
A52.1.1	Jewish
A52.1.2	Jewish
A52.1.3	Jewish
A52.1.4	Jewish
A52.1.5	Jewish
A52.2.1	Jewish
A52.2.2	Jewish
A52.2.3	Jewish
A52.2.4	Jewish
A52.2.5	Jewish
A52.3	Jewish
A54.1	Jewish
A60	Borneo
A60	Hawaii
A60	India
A60	Jewish
A60	Melanesia
A60	Siberia
A60	So. Am. Indian
A60	So. Am. Indian (Toba, Mataco)
A63	Estonia
A63.1	India
A63.2	Lithuania
A63.4.1	Lithuania
A63.5	Ireland
A63.5	Jewish
A63.5.1	Jewish
A63.6	India
A63.6	Jewish
A63.7	Hawaii
A63.7.1	Ireland
A63.8	Jewish
A67	New Hebrides
A71	Greece
A72	Aztec
A72	India
A72	Lat. Am. Indian
A73	Finland
A73	India
A73	So. Am. Indian
A73	So. Am. Indian (Yuracaré)
A73	Yuracare
A74.1	Jewish
A74.2	Jewish
A75	China
A76	China
A77	China
A78	California
A78	India
A81	California
A81	India
A84.1	India
A85	India
A87	Guaray'
A87	India
A87	So. Am. Indian
A87	So. Am. Indian (Guarayos)
A101	Africa
A101	Africa (Fang)
A101	Hawaii
A101	India
A101	So. Am. Indian (Guaraní)
A101	Indonesia
A101	Maori
A101	No. Am. Indian
A101	Tahiti
A101.1	Armenia
A101.1	Iceland
A101.1	India
A101.1	Tarascan
A102.1	So. Am. Indian (Chiriguano)
A102.1	Iceland
A102.1	India
A102.1	Ireland
A102.1	Jewish
A102.1	So. Am. Indian
A102.2	Greece
A102.2	Jewish
A102.3	Jewish
A102.4	Jewish
A102.5	India
A102.5	Jewish
A102.6	Jewish
A102.7	Jewish
A102.8	Jewish
A102.9	Jewish
A102.10	Jewish
A102.11	Jewish
A102.12	Jewish
A102.13	Jewish
A102.14	Jewish
A102.15	Jewish
A102.16	Jewish
A102.17	Jewish
A102.18	Buddhist
A102.19	Jewish
A103	Greece
A103	Hindu
A103	India
A104.1	Hawaii
A104.2	Hawaii
A104.3	Hawaii
A104.4	Hawaii
A106	Hindu
A106	India
A106	Indians (Antioquians)
A106	Jewish
A106	Lat. Am. Jewish
A106.0.1	India
A106.1	Babylonia
A106.1.1	India
A106.2.1	India
A106.2.1	Jewish
A106.2.1.1	India
A106.2.1.2	India
A106.2.2	Jewish
A106.3	Jewish
A107	Babylonia
A107	Ireland
A107	Jewish
A108	China
A108.1	Hawaii
A108.1	Ireland
A109.1	Hawaii
A109.1	Iceland
A109.2	Maori
A111	Hawaii
A111.1	Babylonia
A111.1	Hindu
A111.1	Hittite
A111.1	India
A111.1	Oceania
A111.1	So. Am. Indian
A111.1	So. Am. Indian (Apapocuva)
A111.2	Iceland
A111.3	Tahiti
A111.3.0.1	Greece
A111.3.1	Marquesas
A111.3.2	Tuamotu
A111.3.3	Hawaii
A112	India
A112.1	India
A112.1.1	Greece
A112.1.1	Iceland
A112.1.1.1	India
A112.2	Japan
