motif_id	culture_term	length
A0	Africa	6
A0	Africa	6
A0	Armenia	8
A0	Buddhist	8
A0	Hindu	5
A0	Iceland	7
A0	Iceland	7
A0	India	5
A0	India	5
A0	Ireland	5
A0	Jewish	6
A0	Armenia	8
A0	Mexico	6
A0	Mexico	6
A1.1	Egypt	5
A1.1	Egypt	5
A1.1	Persia	6
A1.1	Persia	6
A1.2	India	5
A1.2	India	5
A1.2	So. Am. Indian (Paressi)	24
A1.2	So. Am. Indian (Paressi)	24
A1.2	So. Am. Indian	14
A1.2	So. Am. Indian (Paressi)	24
A1.3	So. Am. Indian (Paressi)	24
A1.4	Buddhist	8
A2.1	Hawaii	6
A2.1	Iceland	7
A2.1	Iceland	7
A2.1	Oceania	7
A2.2	China	7
A3	India	5
A5.1	Hawaii	6
A5.1	Hawaii	6
A7.1	Guaray'	7
A10	India	5
A11	Jewish	6
A11.1	Jewish	6
A12	Aztec	5
A12	Egypt	5
A12	Egypt	5
A12	Greece	5
A12	Hindu	5
A12	India	5
A12	India	5
A12	India	5
A12.1	Hawaii	6
A12.1	Japan	5
A12.1	Japan	8
A13.1.1	Iceland	7
A13.1.1	Iceland	7
A13.2	Hawaii	6
A13.2.1	Eskimo	6
A13.2.1	Koryak	6
A13.2.2	California	13
A13.2.2	India	5
A13.2.2	India	5
A13.2.3	Greece	5
A13.3.1	India	5
A13.3.2	India	5
A13.3.2	India	5
A13.3.2	So. Am. Indian	14
A13.3.2	So. Am. Indian (Lengua)	23
A13.4.1	Buin	4
A13.4.2	Guaray'	7
A15.1	Chibcha	7
A15.1.1	Leper's Island	10
A15.2	India	5
A15.2	India	5
A15.2	So. Am. Indian	14
A15.2	So. Am. Indian (Guapori River)	30
A15.3.1	Inca	4
A15.4.1	India	5
A17	Jewish	6
A18.1	China	7
A18.2	China	7
A18.3	China	7
A18.4	China	7
A18.5	China	7
A18.6	China	7
A19.1	India	5
A19.1	India	5
A19.1	So. Am. Indian	14
A19.2	Africa	6
A19.2	Africa (Luba)	13
A21.1	Finland	7
A21.1	Iroquois	8
A21.2	Ekoi	4
A22	China	7
A23	China	7
A25	Hottentot	9
A25.1	Chibcha	7
A25.1	India	5
A25.1	India	5
A25.1	So. Am. Indian	14
A25.1	So. Am. Indian (Chibcha)	24
A26.1	Africa	6
A26.1	Africa (Luba)	13
A27	China	7
A30	Hawaii	6
A30	Inca	4
A30	Tahiti	6
A31	American Indian	15
A31	India	5
A31	India	5
A32.1	India	5
A32.1	India	5
A32.1	So. Am. Indian	14
A32.1	India	14
A32.2	India	5
A32.3	India	5
A32.3	India	5
A32.3	Munderuc'	9
A32.3	So. Am. Indian	14
A32.3	So. Am. Indian (Munderuc')	26
A32.3	India	14
A32.3.1	India	5
A32.3.1	India	5
A32.3.1	Munderuc'	9
A32.3.1	So. Am. Indian	14
A32.3.1	So. Am. Indian (Munderuc')	26
A32.3.2	Guaray'	7
A32.3.2	India	5
A32.3.2	India	5
A32.3.2	So. Am. Indian	14
A32.3.2	So. Am. Indian (Guarayos)	25
A33	India	5
A33.1.1	Hawaii	6
A33.2	India	5
A33.2	Sumatra	7
A33.2	Tonga	5
A33.4.1	India	5
A33.4.1	India	5
A33.4.1	Munderuc'	9
A33.4.1	So. Am. Indian	14
A33.4.1	So. Am. Indian (Munderuc')	26
A36	China	7
A37.1	California	13
A37.1	India	5
A37.1	India	5
A38.1	Jewish	6
A40	Jewish	6
A42	Jewish	6
A42.1	Jewish	6
A42.1.1	Jewish	6
A42.2	Jewish	6
A43	Siberia	7
A43	Siberia	8
A44	Jewish	6
A45	Jewish	6
A50	India	5
A50	Jewish	6
A50	Persia	6
A50	Persia	6
A50.1	Jewish	6
A52.0.1	Jewish	6
A52.0.2	Jewish	6
A52.0.3	Jewish	6
A52.0.4	Jewish	6
A52.0.5	Jewish	6
A52.0.6	Jewish	6
A52.0.7	Lithuania	10
A52.0.8	Lithuania	10
A52.1.1	Jewish	6
A52.1.2	Jewish	6
A52.1.3	Jewish	6
A52.1.4	Jewish	6
A52.1.5	Jewish	6
A52.2.1	Jewish	6
A52.2.2	Jewish	6
A52.2.3	Jewish	6
A52.2.4	Jewish	6
A52.2.5	Jewish	6
A52.3	Jewish	6
A54.1	Jewish	6
A60	Borneo	6
A60	Hawaii	6
A60	India	5
A60	India	5
A60	Jewish	6
A60	Melanesia	9
A60	Melanesia	9
A60	Siberia	7
A60	Siberia	8
