motif_id	culture_term
A0	Africa
A0	African
A0	Armenian
A0	Buddhist
A0	Hindu
A0	Icel
A0	Icel.
A0	India
A0	Indian
A0	Irish
A0	Jewish
A0	Lat. Am. Armenian
A0	Mexican
A0	Mexican Indian
A1.1	Egypt
A1.1	Egyptian
A1.1	Persia
A1.1	Persian
A1.2	India
A1.2	Indian
A1.2	Indian (Paressi)
A1.2	Paressi
A1.2	S. Am. Indian
A1.2	S. Am. Indian (Paressi)
A1.3	Paressi
A1.4	Buddhist
A2.1	Hawaii
A2.1	Icel
A2.1	Icel.
A2.1	Oceanic
A2.2	Chinese
A3	India
A5.1	Hawaii
A5.1	Hawaiian
A7.1	Guaray'
A10	India
A11	Jewish
A11.1	Jewish
A12	Aztec
A12	Egypt
A12	Egyptian
A12	Greek
A12	Hindu
A12	India
A12	Indian
A12	Indian (Hindu)
A12.1	Hawaii
A12.1	Japan
A12.1	Japanese
A13.1.1	Icel
A13.1.1	Icel.
A13.2	Hawaii
A13.2.1	Eskimo
A13.2.1	Koryak
A13.2.2	Calif. Indian
A13.2.2	India
A13.2.2	Indian
A13.2.3	Greek
A13.3.1	India
A13.3.2	India
A13.3.2	Indian
A13.3.2	So. Am. Indian
A13.3.2	So. Am. Indian (Lengua)
A13.4.1	Buin
A13.4.2	Guaray'
A15.1	Chibcha
A15.1.1	Lepers Is.
A15.2	India
A15.2	Indian
A15.2	So. Am. Indian
A15.2	So. Am. Indian (Guapori  River)
A15.3.1	Inca
A15.4.1	India
A17	Jewish
A18.1	Chinese
A18.2	Chinese
A18.3	Chinese
A18.4	Chinese
A18.5	Chinese
A18.6	Chinese
A19.1	India
A19.1	Indian
A19.1	So. Am. Indian
A19.2	Africa
A19.2	Africa (Luba)
A21.1	Finnish
A21.1	Iroquois
A21.2	Ekoi
A22	Chinese
A23	Chinese
A25	Hottentot
A25.1	Chibcha
A25.1	India
A25.1	Indian
A25.1	So. Am. Indian
A25.1	So. Am. Indian (Chibcha)
A26.1	Africa
A26.1	Africa (Luba)
A27	Chinese
A30	Hawaii
A30	Inca
A30	Tahiti
A31	American Indian
A31	India
A31	Indian
A32.1	India
A32.1	Indian
A32.1	So. Am. Indian
A32.1	Thompson-Balys
A32.2	India
A32.3	India
A32.3	Indian
A32.3	Munderuc'
A32.3	So. Am. Indian
A32.3	So. Am. Indian (Munderuc')
A32.3	Thompson-Balys
A32.3.1	India
A32.3.1	Indian
A32.3.1	Munderuc'
A32.3.1	So. Am. Indian
A32.3.1	So. Am. Indian (Munderuc')
A32.3.2	Guaray'
A32.3.2	India
A32.3.2	Indian
A32.3.2	So. Am. Indian
A32.3.2	So. Am. Indian (Guaray')
A33	India
A33.1.1	Hawaii
A33.2	India
A33.2	Sumatra
A33.2	Tonga
A33.4.1	India
A33.4.1	Indian
A33.4.1	Munderuc'
A33.4.1	So. Am. Indian
A33.4.1	So. Am. Indian (Munderuc')
A36	Chinese
A37.1	Calif. Indian
A37.1	India
A37.1	Indian
A38.1	Jewish
A40	Jewish
A42	Jewish
A42.1	Jewish
A42.1.1	Jewish
A42.2	Jewish
A43	Siberia
A43	Siberian
A44	Jewish
A45	Jewish
A50	India
A50	Jewish
A50	Persia
A50	Persian
A50.1	Jewish
A52.0.1	Jewish
A52.0.2	Jewish
A52.0.3	Jewish
A52.0.4	Jewish
A52.0.5	Jewish
A52.0.6	Jewish
A52.0.7	Lithuanian
A52.0.8	Lithuanian
