rownum	motif_id	text
1	A0	Creator.
2	A1	Identity of creator.
3	A1.1	Sun-god as creator.
4	A1.2	Grandfather as creator.
5	A1.3	Stone-woman as creator.
6	A1.4	Brahma as creator.
7	A2	Multiple creators.
8	A2.1	Three creators.
9	A2.2	First human pair as creators.
10	A3	Creative mother source of everything.
11	A5	Reason for creation.
12	A5.1	Gods make earth to have place to rest their feet.
13	A7	Creator's descendants.
14	A7.1	Creator has two sons.
15	A10	Nature of the creator.
16	A11	Invisible creator.
17	A11.1	Invisibility of creator learned from the impossibility of staring at the sun, his servant.
18	A12	Hermaphroditic creator. The creator is half man and half woman or is thought of as both male and female.
19	A12.1	Male and female creators.
20	A13	Animal as creator.
21	A13.1	Beast as creator.
22	A13.1.1	Cow as creator.
23	A13.2	Bird as creator.
24	A13.2.1	Raven as creator.
25	A13.2.2	Eagle as creator of man.
26	A13.2.3	Black-winged bird as creator.
27	A13.3	Insect as creator.
28	A13.3.1	Spider as creator.
29	A13.3.2	Beetle as creator.
30	A13.4	Reptile as creator.
31	A13.4.1	Snake as creator.
32	A13.4.2	Worm as creator.
33	A15	Human creator.
34	A15.1	Female creator.
35	A15.1.1	Old woman as creator.
36	A15.2	Brothers as creators.
37	A15.3	Old man as creator.
38	A15.3.1	Old man with staff as creator.
39	A15.4	Artisan as creator.
40	A15.4.1	Potter as creator.
41	A17	Angel as creator.
42	A18	Pictorial representations of creator.
43	A18.1	Creator with dragon's head.
44	A18.2	Creator with two horns on head.
45	A18.3	Dwarfish creator.
46	A18.4	Creator clothed in bear-skin (or in leaves).
47	A18.5	Creator with hammer and chisel in hands.
48	A18.6	Creator with sun and moon in hands.
49	A19	Nature of creator miscellaneous.
50	A19.1	Sun and moon (man and wife) as creators.
51	A19.2	Creator with appearance of Negro.
52	A20	Origin of the creator.
53	A21	Creator from above.
54	A21.1	Woman who fell from the sky. Daughter of the sky-chief falls from the sky, is caught by birds, and lowered to the surface of the water. She becomes the creator.
55	A21.2	Old man from sky as creator. Old man with his wife comes from the sky. Are the first couple on earth. Have seven sons and seven daughters. Each son marries a daughter.
56	A22	Creator comes out of chaos.
57	A23	Creator offspring of dual powers of nature. (Male and female principles.)
58	A25	Creator from below. God rises from beneath (the center of the spiritual world) and creates the world.
59	A25.1	Creator emerges from lake.
60	A26	Creator comes from certain direction.
61	A26.1	Creator comes from east.
62	A27	Creator born from egg.
63	A30	Creator  's companions.
64	A31	Creator's grandmother. Casually mentioned in the course of the creation myth.
65	A32	Creator's family.
66	A32.1	Creator's son.
67	A32.2	Creator's daughter.
68	A32.3	Creator's wife.
69	A32.3.1	Creator's wife seduced by his son.
70	A32.3.2	Creator beats his wife while intoxicated from beverage he invents.
71	A33	Animal as creator's companion.
72	A33.1	Beast as creator's companion.
73	A33.1.1	Creator's dog. The creator is accompanied by a dog (cf. +A63.4.)
74	A33.2	Bird as creator's companion.
75	A33.3	Insect as creator's companion.
76	A33.3.1	Bee as God's spy. God, the creator, sends a bee to overhear the devil's secrets.
77	A33.4	Other animal companions of creator.
78	A33.4.1	Armadillo as creator's companion.
79	A36	Creator's companions: unicorn, phoenix, tortoise, and dragon.
80	A37	Joint creators.
81	A37.1	Falcon and crow as joint creators.
82	A38	Heavenly bodies as creator's companions.
83	A38.1	Creator's companions: sun and moon.
84	A40	Creator  's advisers.
85	A41	Men as God's advisers.
86	A42	Angels as God's advisers.
87	A42.1	Seraphim as creator's advisers.
88	A42.1.1	God consults two angels on creation.
89	A42.2	God consults mercy on his right and justice on his left.
90	A43	Devil as adviser of God.
91	A44	Tora as God's adviser.
92	A45	Souls of pious as Creator's advisers.
93	A50	Conflict of good and evil creators.
94	A50.1	Creation of angels and devils.
95	A51	Creation of devil(s).
96	A52	Creation of angels.
97	A52.0.1	Angels created to execute God's will.
98	A52.0.2	Degraded gods become angels.
99	A52.0.3	Angels existed prior to creation.
100	A52.0.4	Angels are transformed souls of the pious.
101	A52.0.5	Angels created from three elements.
102	A52.0.6	Angels created from words uttered by God.
103	A52.0.7	God drops water from his finger and the drops become angels. Lucifer imitated God and created devils.
