type_id	label	text
1	The Theft of Fish	The Theft of Fish. (Including the previous Types 1* and 1**.) A fox (hare, rabbit, coyote, jackal) lies in the road pretending to be dead. A fisherman throws him on his wagon which is full of fish (cheese, butter, meat, bread, money). The fox throws the fish out of the wagon  and jumps down after them . A wolf (bear, fox, coyote, hyena) tries to imitate this and pretends to be dead, too. The fisherman catches him and beats him . Cf. Types 56A, 56B, and 56A*. In some variants one animal (rabbit, fox) pretends to be dead in order to distract a man who is carrying a basket of food. Another animal (fox, wolf) steals the basket. (Previously Type 1*, cf. Type 223.) Or an animal makes a hole in the basket so that the contents fall out. (Previously Type 1**.) 
1*		
1**		
10***	The Fall over the Edge (previously Over the Edge)	The Fall over the Edge (previously Over the Edge). A fox and a bear (wolf, man, devil) sleep together on the edge of a cliff. The fox pushes his companion over the edge so that he falls down and dies . 
100	The Wolf is Caught because of his Singing (previously The Wolf as the Dog's Guest Sings)	The Wolf is Caught because of his Singing (previously The Wolf as the Dog's Guest Sings). A dog (fox) invites a wolf to a feast (cellar full of food). The wolf eats and drinks too much. When he sings in spite of the dog's objections, he is thrashed or killed. The dog escapes . Cf. Types 41, 163, and 214A. 
1000	Contest Not to Become Angry	Contest Not to Become Angry. A farmhand (poor boy, strong man, three sons one after another) agrees to a contest with his master (devil, ogre, priest) that whoever becomes angry first (before the cuckoo calls) must allow strip(s) of skin (flesh) to be cut out of his back (have his nose or ears cut off, be beaten) or must pay a large sum of money. The farmhand (third son) heaps abuse on his master or feigns stupidity until the latter erupts in anger. The master tries to flee but finally must take his punishment . Cf. Types 650A, 1351, and 1920H. 
1001	Cutting Wood	Cutting Wood. The devil's helper has to cut some trees for firewood, but his axe does not split the wood (the woodpile becomes larger with every cut). The helper finds a cat (snake) in the pile, kills it, and then is able to finish his work . 
1002	Destroying the Master's Property (previously Dissipation of the Ogre's Property)	Destroying the Master's Property (previously Dissipation of the Ogre's Property). A farmhand harms his master (ogre, priest) by destroying (selling, giving away, exchanging) his property . 
1003	Plowing	Plowing. (Including the previous Type 1003*.) A master (ogre, devil) bids his farmhand to plow following the dog (as long as the dog sits still), and to take the horses wherever the dog goes. The farmhand plows over hill and dale. (He beats the dog.) The dog runs home and enters the stable through a small aperture (hole in the wall). To take the horses in the same way, the farmhand cuts them into quarters . Cf. Type 650A. In some variants, a farmhand must guard the cattle. In the evening he will get his dinner only if he comes home before the dog. During the first few days, the farmhand does not get dinner. Then he kills the dog. (Previously Type 1003*.) 
1003*		
1004	Hogs in the Mud; Sheep in the Air	Hogs in the Mud; Sheep in the Air. (Including the previous Type 1525P.) This tale exists chiefly in three different forms: (1) Left to guard the pigs (cows, horses), a farmhand sells them but sticks their severed tails in the muddy ground. His master pulls the tails out and thinks that the pigs are sunk in the mud (have escaped underground) . (2) A farmhand sells his master's sheep and hangs their severed tails (bells) in a tree. He thus makes the master believe that the sheep have been carried away by a strong wind (have escaped into the air, have gone to heaven) . (3) A farmhand (thief) kills one ox and puts its tail in the mouth of another, so that his master (the owner of the ox) thinks one ox has eaten the other . (Previously Type 1525P.) 
1005	A Bridge (Road) of Carcasses (previously Building a Bridge or Road)	A Bridge (Road) of Carcasses (previously Building a Bridge or Road). An ogre orders a man to build a bridge (road) not of wood, stone, iron, or earth. The man slaughters all the ogre's livestock and builds the bridge out of their carcasses . 
1006	Casting Eyes	Casting Eyes. A farmhand is ordered by his master to “cast an eye” over something (somebody). He intentionally takes this request literally, kills the master's livestock, and throws the animals' eyes at the object (person) . Cf. Type 1685, where the misunderstanding is unintentional. 
1006*	“Kill the Sheep that is Looking at You”	“Kill the Sheep that is Looking at You.” A farmhand is told by his master (devil) to kill the sheep that looks at him first. The whole flock looks at him, so that the farmhand kills all the animals. 
1007	Other Means of Killing or Maiming Livestock	Other Means of Killing or Maiming Livestock . Miscellaneous type with diverse variants, e.g.: A farmhand is ordered by his master to pasture the cattle in such a way that they come home dancing and laughing, so he makes them limp and tears off their lips. A farmhand frightens his master's oxen on a bridge so that they drown. A farmhand removes the skin of oxen's legs so that they will not get them wet while drinking. 
1008	Lighting the Road	Lighting the Road. A farmhand is ordered by his master to light the road (paint the house red). He sets the house on fire . 
1009	Guarding the Store-room Door	Guarding the Store-room Door. (Including the previous Type 1014.) A farmhand (foolish man or woman) is ordered to guard the door of the store-room (house). He pulls the door off its hinges and carries it with him . Cf. Type 1653. In some variants, a farmhand is asked to close the door tightly. He uses iron nails in order to do so . (Previously Type 1014.) 
101	The Old Dog as Rescuer of the Child (Sheep)	The Old Dog as Rescuer of the Child (Sheep). A farmer plans to kill his faithful old dog because it cannot work anymore. The wolf makes a plan to save the dog: The latter is to rescue the farmer's child from the wolf. The plan succeeds and the dog's life is spared. The wolf in return wants to steal the farmer's sheep. The dog refuses to help and loses the wolf's friendship . 
101*		
1010	Repairing the House	Repairing the House. A farmhand is ordered to repair the house (tidy up the rooms, rebuild the dunghill, fill up a well). He takes all the objects outside (tears out the stove or the floor, smashes the furniture or the dishes, carries everything to the dunghill, throws it into the well, etc.). In some variants, the farmhand is told to do what the neighbors do. He tears off the roof (destroys the house) . 
1011	Tearing up the Orchard (Vineyard)	Tearing up the Orchard (Vineyard). A farmhand is told to cut wood. He cuts down a neighbor's orchard (vineyard) . 
1012	Cleaning the Child	Cleaning the Child. A farmhand is ordered by his master to wash the child. He holds the child under water until it is drowned (cleans the child outside and inside: takes the intestines out and washes them) . Cf. Type 1016.
1012A	Seating the Children (previously Cleaning the Children)	Seating the Children (previously Cleaning the Children). A farmhand is ordered to seat the children. He seats them on pointed sticks and impales them . 
1013	Bathing (Warming) Grandmother	Bathing (Warming) Grandmother. A farmhand is ordered to bathe (warm) the grandmother. He scalds her or puts her on (into) the stove . Cf. Type 1121. 
1014		
1015	Forging a Hiss (previously Whetting the Knife)	Forging a Hiss (previously Whetting the Knife). A man (boy) wants to (is expected to) learn how to forge metal objects simply by watching the smith. After a while (three years) he finishes his “apprenticeship”. As his first piece, he wants to forge a plowshare for a farmer (his uncle). He hammers so powerfully that the iron becomes too thin for a plowshare. So he decides to forge an axe instead. This does not work out, either. From the rest of the iron, he tries to forge a knife and after that an awl. Finally only a tiny piece of iron is left. He tells the farmer that he will forge him a hiss and throws the iron into water, where it sinks hissing . In some variants, a farmhand is ordered to whet a knife. He whets the whole blade away . 
1016	Cleaning the Horse	Cleaning the Horse. A master (devil) asks his farmhand to clean the horse(s). The farmhand cuts off the horse's tail (mane, etc.) (washes the horse in boiling water, curries it with a sharp razor) . In some variants, the farmhand cleans the horses both outside and inside: He takes their intestines out and washes them. Cf. Type 1012. 
1017	Covering the Whole Wagon with Tar	Covering the Whole Wagon with Tar. A master (devil) tells his farmhand to grease the wagon. The farmhand covers the whole wagon (the inside of the wagon) with tar . 
1019*		
102	The Dog as Wolf's Shoemaker	The Dog as Wolf's Shoemaker. An old dog (fox, jackal, hare) promises to make shoes (fur coat) for a wolf (lion, hyena). The dog orders a cow, hog, sheep, etc. to make the shoes, but instead he eats the animals. When the wolf notices the deception, the dog escapes by a trick, e.g. he orders the wolf to cross a swamp and says that he has shoes now . 
