ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
India,9281,geographic,country,1.0,India,"The Republic of India, a large country in South Asia with a rich cultural heritage and folklore traditions spanning thousands of years. Home to numerous linguistic, ethnic and religious groups with distinct oral traditions and mythologies.","[20.5937, 78.9629]",
Ireland,7737,geographic,country,1.0,Ireland,"Island nation in northwestern Europe, comprising the Republic of Ireland and Northern Ireland. Has rich folklore and mythology including tales of the Tuatha Dé Danann, leprechauns, faeries, and Celtic mythology.","[53.4129, -8.2439]",
Jewish,3934,religious,abrahamic_religion,0.95,Israel,"Refers to adherents of Judaism, one of the world's oldest monotheistic religions, and their associated cultural traditions. While Jewish communities exist worldwide, Israel is considered the historical and spiritual homeland of the Jewish people.","[31.7833, 35.2167]",
Iceland,2963,geographic,country,1.0,Iceland,"Iceland is a Nordic island country located between the North Atlantic and Arctic Oceans. It has a rich folklore tradition including sagas, tales of elves (huldufólk), trolls, and other mythological creatures. The country has a distinct cultural identity shaped by its Norse heritage and isolation.","[64.9631, -19.0208]",
Spanish,2409,geographic,country,0.9,Spain,"Relating to the people, language, and culture of Spain, particularly the dominant Castilian culture that emerged from the central regions of the Iberian Peninsula","[40.4, -3.7]",
Italy,1785,geographic,country,1.0,Italy,"Modern nation-state and historical region on the Italian peninsula, home to numerous distinct regional cultures and folklore traditions, including those of ancient Rome, Renaissance city-states, and various local communities","[41.9, 12.5]",
German,1319,geographic,country,0.95,Germany,"Relating to the people, culture, and language of Germany (historically including various German-speaking states in Central Europe). In folklore contexts, usually refers to traditions from German-speaking regions.","[51.1657, 10.4515]",
China,1172,geographic,country,1.0,China,"The People's Republic of China, a country in East Asia with one of the world's oldest continuous civilizations and a rich tradition of folklore, mythology and cultural practices spanning thousands of years.","[35.8617, 104.1954]",
United States,1154,geographic,country,1.0,United States of America,"The United States of America is a federal republic consisting of 50 states, primarily located in North America between Canada and Mexico. Established in 1776, it is one of the world's largest countries by total area and population.","[39.8283, -98.5795]",
Finnish,1112,geographic,country,0.95,Finland,"Relating to the people, culture, and language of Finland, a country in Northern Europe. The Finnish people are historically and culturally distinct, with their own Finno-Ugric language.","[61.9241, 25.7482]",
Latvian,1084,geographic,country,0.95,Latvia,"Refers to people, culture, and language associated with Latvia, a Baltic country in Northern Europe. The Latvian people are a Baltic ethnic group native to Latvia with their own distinct language and cultural traditions.","[56.8796, 24.6032]",
England,1023,geographic,country,1.0,England,"One of the four constituent countries of the United Kingdom, historically an independent kingdom. Refers to the southern portion of Great Britain island, excluding Wales and Scotland.","[52.3555, -1.1743]",
Hungarian,929,geographic,country,0.95,Hungary,"Refers to people, culture, and language associated with Hungary (Magyar), a Central European country. The term historically also applies to the larger Kingdom of Hungary but is now primarily associated with the modern nation-state.","[47.1625, 19.5033]",
Greek,873,geographic,country,0.95,Greece,"Refers to people, culture, and language originating from Greece and ancient Greek civilization, including both modern Greece and historical Greek territories. The term encompasses both ancient and modern Greek cultural elements.","[39.0742, 21.8243]",
Lithuanian,862,geographic,country,0.95,Lithuania,"Refers to people, culture, and language of Lithuania, a Baltic country in Northern Europe. The Lithuanian identity combines distinct linguistic heritage (one of oldest surviving Indo-European languages) with strong cultural traditions.","[55.1694, 23.8813]",
French,834,geographic,country,0.95,France,"Refers to people, culture, language and folklore originating from France, historically centered around the region known as Francia/Gaul. French identity became strongly consolidated during medieval and early modern periods.","[46.603354, 1.888334]",
Italian,826,geographic,country,0.95,Italy,"Refers to people, culture, and folklore originating from the modern nation of Italy and its historical regions, including traditions from various Italian city-states and kingdoms that preceded modern Italian unification","[41.9, 12.5]",
Ukrainian,793,geographic,country,0.95,Ukraine,"Relating to the country of Ukraine, its people, language, and culture. Ukrainian refers to both the East Slavic ethnic group native to Ukraine and their language, which is the official state language of Ukraine.","[48.3794, 31.1656]",
Spanish Exempla,786,geographic,country,0.9,Spain,"Medieval Spanish religious and moral tales used as examples in sermons and teachings, particularly popular in medieval Spain and Spanish-speaking regions. Exempla were short narrative stories with moral lessons used by preachers and religious teachers.","[40.4, -3.7]",
Lithuania,784,geographic,country,1.0,Lithuania,"A Baltic country in Northern Europe, historically one of the largest medieval European states. Modern Lithuania gained independence from the Soviet Union in 1990 and has distinct cultural traditions, folklore and mythology rooted in Baltic paganism.","[55.1694, 23.8813]",
Russian,777,geographic,country,0.95,Russia,"Relating to Russia and its people, language, and culture. In folklore contexts, typically refers to ethnic Russians (Русские) and their traditional stories, beliefs and customs, particularly from historical Russia/Russian Empire.","[55.7558, 37.6173]",
Frisian,771,linguistic,language_group,0.9,Friesland,"Refers to a Germanic ethnic group and their languages, historically inhabiting coastal regions along the North Sea in what is now northern Netherlands and northwestern Germany. The term encompasses both the people and their West Germanic language family.","[53.1, 5.8]",
Estonian,769,geographic,country,0.95,Estonia,"Refers to people, language, and culture of Estonia, a Baltic country in Northern Europe that gained independence from the Soviet Union in 1991. The Estonian language belongs to the Finno-Ugric family.","[58.5953, 25.0136]",
Bulgarian,763,geographic,country,0.95,Bulgaria,"Refers to people, culture, and language of Bulgaria, a country in southeastern Europe with distinct Slavic cultural heritage and history dating back to the First Bulgarian Empire in the 7th century","[42.7339, 25.4858]",
Greece,746,geographic,country,1.0,Greece,"Modern nation-state and historical region in southeastern Europe, cradle of Hellenic civilization and classical mythology, with a rich tradition of folklore and legends dating back to ancient times","[39.0, 22.0]",
Irish,741,geographic,country,0.95,Ireland,"Refers to people, culture, and folklore originating from Ireland, including both the Republic of Ireland and Northern Ireland. The term encompasses the indigenous Celtic culture, language (Gaeilge), and traditions of the Irish people.","[53.4129, -8.2439]",
Polish,728,geographic,country,0.95,Poland,"Relating to Poland, its people, culture, and language. The Polish people are a West Slavic ethnic group and nation native to Poland.","[52.0, 20.0]",
Swedish,716,geographic,country,0.95,Sweden,"Relating to the country of Sweden, its people, language and culture. Swedish refers to things originating from or characteristic of Sweden, a Nordic country in Northern Europe.","[62.0, 15.0]",
Indian,694,geographic,country,0.7,India,"Generally refers to people, culture or stories from India, though the term has historically been used ambiguously to also refer to indigenous peoples of the Americas due to colonial misnaming. In folklore indexes, it typically refers to materials from the Indian subcontinent rather than Native Americans/First Nations peoples.","[20.5937, 78.9629]",
Portuguese,651,geographic,country,0.95,Portugal,"People, language, and culture associated with Portugal, a country in southwestern Europe on the Iberian Peninsula. The term can refer to both nationality and linguistic identity, with Portuguese being one of the world's major languages due to colonial expansion.","[39.6, -8.0]",
Flemish,645,linguistic,language_group,0.95,Flanders,"Refers to the Dutch-derived language and culture of Flanders, the northern region of Belgium. Flemish people speak a variant of Dutch and have a distinct cultural identity within Belgium.","[51.0, 4.5]",
Danish,625,geographic,country,0.95,Denmark,"Relating to people, culture, and language of Denmark, a Nordic country. Danish is both a nationality and a Germanic language spoken primarily in Denmark.","[56.2639, 9.5018]",
France,623,geographic,country,1.0,France,"The sovereign nation and cultural region of France in Western Europe, historically home to French culture, language and people. One of the major sources of European folklore and fairy tales.","[46.603354, 1.888334]",
Dutch,612,geographic,country,0.9,Netherlands,"Refers to people, language, and culture originating from the Netherlands (Holland). In folklore, Dutch characters are often portrayed as industrious merchants, sailors, or farmers, reflecting the nation's maritime and agricultural heritage.","[52.1326, 5.2913]",
