category,subcategory,geographic_region,latitude,longitude,confidence,resolution_method,ref_term,usage_count,source_tables
unknown,unresolved,,,,0.0,unresolved,Abkhaz,83,type
unknown,unresolved,,,,0.0,unresolved,Achawoi,1,motif
unknown,unresolved,,,,0.0,unresolved,Admiralty Island,1,motif
unknown,unresolved,,,,0.0,unresolved,Adygea,59,type
geographic,country,Afghanistan,33.9,67.7,0.98,claude_knowledge_direct,Afghan,45,type
unknown,unresolved,,,,0.0,unresolved,Africa,149,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Akan-Ashanti),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ashanti),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ba-Ronga),9,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Baholoholo),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bakuba),3,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Baluba),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Baluga),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bambara),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bangola),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bankon),9,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bantu),3,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Basuto),98,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Baukon),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bayaka),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bechuana),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bena Makuni),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Benga),66,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Betsileo),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Boloki),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bondei),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bulu),10,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bushman),16,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bushonga),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Bushongo),12,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Chaga),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Cold Coast),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Congo),29,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Dahomey),6,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Dinka),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Dschagga),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Duala),30,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Dzalamo),6,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Efik-Ibibo),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ekoi),156,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Fang),145,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Fjort),48,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Fulah),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ganda),7,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Gold Coast),47,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Guinea Coast),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Hausa),28,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Hottentot),25,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ibo of Nigeria),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ibo),13,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ila),20,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Jaunde),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kaffir),88,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kamerun),3,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kenya),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kiyansi),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Konde),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Konnoh),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kordofan),10,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kpelle),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Kweli),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Lamami),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Lamba),7,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Larusa),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Loango),11,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Luba),28,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Mambettu),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Masai),3,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Mbundu),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Mkulwe),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Mossi),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Mpongwe),24,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Mwimbe),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nago),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nama),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nao),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Ndau),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nuba),2,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nubia),3,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nupe),1,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nyang),6,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nyanja),4,motif
unknown,unresolved,,,,0.0,unresolved,Africa (Nyika),1,motif
