type_id,ref_term,category,subcategory,confidence
1,Albanian,geographic,country,0.9
1,Argentine,unknown,unclassified,0.1
1,Basque,ethnic_tribal,group,0.7
1,Byelorussian,geographic,country,0.9
1,Cambodian,geographic,country,0.9
1,Catalan,unknown,unclassified,0.1
1,Cheremis/Mari,unknown,unclassified,0.1
1,Chinese,linguistic,language,0.9
1,Chuvash,unknown,unclassified,0.1
1,Costa Rican,unknown,unclassified,0.1
1,Dutch,linguistic,language,0.9
1,East African,geographic,region,0.8
1,Egyptian,geographic,country,0.9
1,Egyptian,geographic,country,0.9
1,Estonian,geographic,country,0.9
1,Finnish,linguistic,language,0.9
1,Flemish,unknown,unclassified,0.1
1,French,linguistic,language,0.9
1,Frisian,unknown,unclassified,0.1
1,Georgian,geographic,country,0.9
1,German,linguistic,language,0.9
1,Ghanaian,geographic,country,0.9
1,Greek,linguistic,language,0.9
1,Greek,linguistic,language,0.9
1,Gypsy,ethnic_tribal,group,0.7
1,Hungarian,linguistic,language,0.9
1,Indian,geographic,country,0.9
1,Irish,unknown,unclassified,0.1
1,Italian,linguistic,language,0.9
1,Japanese,geographic,country,0.9
1,Jewish,religious,religion,0.9
1,Jewish,religious,religion,0.9
1,Karelian,unknown,unclassified,0.1
1,Kazakh,unknown,unclassified,0.1
1,Korean,geographic,country,0.9
1,Korean,geographic,country,0.9
1,Lappish,unknown,unclassified,0.1
1,Latvian,geographic,country,0.9
1,Liberian,unknown,unclassified,0.1
1,Lithuanian,geographic,country,0.9
1,Livonian,unknown,unclassified,0.1
1,Lydian,unknown,unclassified,0.1
1,Mayan,unknown,unclassified,0.1
1,Mexican,unknown,unclassified,0.1
1,Mongolian,geographic,country,0.9
1,Mordvinian,unknown,unclassified,0.1
1,Namibian,unknown,unclassified,0.1
1,Nenets,unknown,unclassified,0.1
1,Norwegian,linguistic,language,0.9
1,Ossetian,unknown,unclassified,0.1
1,Palestinian,unknown,unclassified,0.1
1,Paraguayan,unknown,unclassified,0.1
1,Polish,linguistic,language,0.9
1,Polish,linguistic,language,0.9
1,Portuguese,linguistic,language,0.9
1,Rumanian,unknown,unclassified,0.1
1,Russian,geographic,country,0.9
1,Russian,geographic,country,0.9
1,Slovakian,geographic,country,0.9
1,Slovene,unknown,unclassified,0.1
1,Sorbian,unknown,unclassified,0.1
1,South African,geographic,region,0.8
1,South American,geographic,region,0.8
1,Spanish,linguistic,language,0.9
1,Sri Lankan,unknown,unclassified,0.1
1,Sudanese,geographic,country,0.9
1,Swedish,linguistic,language,0.9
1,Syrjanian,unknown,unclassified,0.1
1,Tatar,unknown,unclassified,0.1
1,Turkish,linguistic,language,0.9
1,Ukrainian,unknown,unclassified,0.1
1,Uzbek,unknown,unclassified,0.1
1,Votyak,unknown,unclassified,0.1
1,Wepsian,unknown,unclassified,0.1
1,Wotian,unknown,unclassified,0.1
1,Yakut,unknown,unclassified,0.1
10***,Algerian,geographic,country,0.9
10***,Indian,geographic,country,0.9
10***,Moroccan,unknown,unclassified,0.1
