type_id,ref_term,category,subcategory,confidence,resolution_method,geographic_region,manual_hints,coordinates,claude_analysis
1,Albanian,geographic,country,0.9,,,,,
1,Argentine,geographic,country,0.95,demonym_lookup,Argentina,,,
1,Basque,ethnic_tribal,group,0.7,,,,,
1,Byelorussian,geographic,country,0.9,,,,,
1,Cambodian,geographic,country,0.9,,,,,
1,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,,,
1,Cheremis/Mari,unknown,unclassified,0.1,claude_analysis_inconclusive,,Similar to Cheremis (Russia/Mari El); Similar to Mari (Russia/Mari El),,"Could not definitively categorize 'Cheremis/Mari' - may be archaic term, variant spelling, or highly specific local reference"
1,Chinese,linguistic,language,0.9,,,,,
1,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,,,
1,Costa Rican,geographic,country,0.95,demonym_lookup,Costa Rica,,,
1,Dutch,linguistic,language,0.9,,,,,
1,East African,geographic,region,0.8,,,,,
1,Egyptian,geographic,country,0.9,,,,,
1,Egyptian,geographic,country,0.9,,,,,
1,Estonian,geographic,country,0.9,,,,,
1,Finnish,linguistic,language,0.9,,,,,
1,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,,,
1,French,linguistic,language,0.9,,,,,
1,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,,,
1,Georgian,geographic,country,0.9,,,,,
1,German,linguistic,language,0.9,,,,,
1,Ghanaian,geographic,country,0.9,,,,,
1,Greek,linguistic,language,0.9,,,,,
1,Greek,linguistic,language,0.9,,,,,
1,Gypsy,ethnic_tribal,group,0.7,,,,,
1,Hungarian,linguistic,language,0.9,,,,,
1,Indian,geographic,country,0.9,,,,,
1,Irish,geographic,country,0.95,demonym_lookup,Ireland,,,
1,Italian,linguistic,language,0.9,,,,,
1,Japanese,geographic,country,0.9,,,,,
1,Jewish,religious,religion,0.9,,,,,
1,Jewish,religious,religion,0.9,,,,,
1,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,,,
1,Kazakh,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Kazakhstan,,,
1,Korean,geographic,country,0.9,,,,,
1,Korean,geographic,country,0.9,,,,,
1,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,,,
1,Latvian,geographic,country,0.9,,,,,
1,Liberian,geographic,country,0.95,demonym_lookup,Liberia,,,
1,Lithuanian,geographic,country,0.9,,,,,
1,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,,,
1,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,,,
1,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,,,
1,Mexican,geographic,country,0.95,demonym_lookup,Mexico,,,
1,Mongolian,geographic,country,0.9,,,,,
1,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,,,
