type_id,ref_term,category,subcategory,confidence,resolution_method,geographic_region,manual_hints,coordinates,claude_analysis
1,Palestinian,geographic,disputed_territory,0.95,claude_geographic_knowledge,Palestine/Israel,Likely demonym/nationality,"(31.9, 35.2)",Country demonym for Palestine/Israel
1,Paraguayan,geographic,country,0.95,claude_geographic_knowledge,Paraguay,Likely demonym/nationality,"(-23.4, -58.4)",Country demonym for Paraguay
1,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1,Sri Lankan,geographic,country,0.95,claude_geographic_knowledge,Sri Lanka,Likely demonym/nationality,"(7.9, 80.8)",Country demonym for Sri Lanka
1,Syrjanian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Komi Republic/Russia,Likely demonym/nationality,"(64.0, 54.0)",Language/linguistic group from Komi Republic/Russia
1,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1,Uzbek,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Uzbekistan & Central Asia,No obvious patterns,"(41.4, 64.6)",Ethnic/tribal group from Uzbekistan & Central Asia
1,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
10***,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
10***,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
10***,Tuva,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tuva/Russia,No obvious patterns,"(51.7, 94.4)",Ethnic/tribal group from Tuva/Russia
100,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
100,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
100,Turkmen,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Turkmenistan & Central Asia,No obvious patterns,"(38.9, 59.6)",Ethnic/tribal group from Turkmenistan & Central Asia
1000,Cape Verdian,geographic,country,0.95,claude_geographic_knowledge,Cape Verde,Likely demonym/nationality,"(16.0, -24.0)",Country demonym for Cape Verde
1000,Dominican,geographic,country,0.95,claude_geographic_knowledge,Dominican Republic,Likely demonym/nationality,"(18.7, -70.2)",Country demonym for Dominican Republic
1000,Kalmyk,ethnic_tribal,mongolic_people,0.88,claude_ethnographic_knowledge,Kalmykia/Russia,No obvious patterns,"(46.3, 44.3)",Ethnic/tribal group from Kalmykia/Russia
1000,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1000,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1000,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1000,Sri Lankan,geographic,country,0.95,claude_geographic_knowledge,Sri Lanka,Likely demonym/nationality,"(7.9, 80.8)",Country demonym for Sri Lanka
1000,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1000,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1002,Sri Lankan,geographic,country,0.95,claude_geographic_knowledge,Sri Lanka,Likely demonym/nationality,"(7.9, 80.8)",Country demonym for Sri Lanka
1003,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1004,Cape Verdian,geographic,country,0.95,claude_geographic_knowledge,Cape Verde,Likely demonym/nationality,"(16.0, -24.0)",Country demonym for Cape Verde
1004,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1004,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1004,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1005,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1006*,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1006*,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1007,Kalmyk,ethnic_tribal,mongolic_people,0.88,claude_ethnographic_knowledge,Kalmykia/Russia,No obvious patterns,"(46.3, 44.3)",Ethnic/tribal group from Kalmykia/Russia
1007,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1007,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1008,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1009,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1009,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1009,Tunisian,geographic,country,0.95,claude_geographic_knowledge,Tunisia,Likely demonym/nationality,"(33.9, 9.6)",Country demonym for Tunisia
1009,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
101,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
101,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
101,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1010,Uzbek,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Uzbekistan & Central Asia,No obvious patterns,"(41.4, 64.6)",Ethnic/tribal group from Uzbekistan & Central Asia
1012,Kalmyk,ethnic_tribal,mongolic_people,0.88,claude_ethnographic_knowledge,Kalmykia/Russia,No obvious patterns,"(46.3, 44.3)",Ethnic/tribal group from Kalmykia/Russia
1012,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1012A,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1013,Dominican,geographic,country,0.95,claude_geographic_knowledge,Dominican Republic,Likely demonym/nationality,"(18.7, -70.2)",Country demonym for Dominican Republic
1013,Palestinian,geographic,disputed_territory,0.95,claude_geographic_knowledge,Palestine/Israel,Likely demonym/nationality,"(31.9, 35.2)",Country demonym for Palestine/Israel
1016,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
1017,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
102,Cape Verdian,geographic,country,0.95,claude_geographic_knowledge,Cape Verde,Likely demonym/nationality,"(16.0, -24.0)",Country demonym for Cape Verde
102,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
102,Palestinian,geographic,disputed_territory,0.95,claude_geographic_knowledge,Palestine/Israel,Likely demonym/nationality,"(31.9, 35.2)",Country demonym for Palestine/Israel
1029,Cape Verdian,geographic,country,0.95,claude_geographic_knowledge,Cape Verde,Likely demonym/nationality,"(16.0, -24.0)",Country demonym for Cape Verde
1029,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1029,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
103,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
103,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
103,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
