type_id,ref_term,category,subcategory,confidence,resolution_method,geographic_region,manual_hints
1,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1,Costa Rican,geographic,country,0.95,demonym_lookup,Costa Rica,
1,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1,Kazakh,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Kazakhstan,
1,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1,Liberian,geographic,country,0.95,demonym_lookup,Liberia,
1,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1,Namibian,geographic,country,0.95,demonym_lookup,Namibia,
1,Nenets,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Arctic,
1,Ossetian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Caucasus/Ossetia,
1,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
100,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
100,Irish,geographic,country,0.95,demonym_lookup,Ireland,
100,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
100,Ossetian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Caucasus/Ossetia,
100,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1000,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1000,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1000,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1000,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1000,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1000,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1000,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1000,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1000,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1000,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1000,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1001,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1002,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1002,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1002,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1002,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1002,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1002,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1003,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1003,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1003,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1003,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1003,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1003,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1004,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1004,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1004,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1004,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1004,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
