type_range	parent
ATU	
1-299	ATU
1–99	1-299
1–69	1-99
70–99	1-99
100–149	1-299
150–199	1-299
200–219	1-299
220–299	1-299
300-749	ATU
300–399	300-749
400–459	300-749
400–424	300-749
425–449	300-749
450–459	300-749
460–499	300-749
500–559	300-749
560–649	300-749
650–699	300-749
700–749	300-749
750-849	ATU
750–779	750-849
780–799	750-849
800–809	750-849
810–826	750-849
827–849	750-849
850-999	ATU
850–869	850-999
870–879	850-999
880–899	850-999
900–909	850-999
910–919	850-999
920–929	850-999
930–949	850-999
950–969	850-999
970–999	850-999
1000-1199	ATU
1000–1029	1000-1199
1030–1059	1000-1199
1060–1114	1000-1199
1115–1144	1000-1199
1145–1154	1000-1199
1155–1169	1000-1199
1170–1199	1000-1199
1200-1999	ATU
1200–1349	1200-1999
1350–1439	1200-1999
1380–1404	1200-1999
1405–1429	1200-1999
1430–1439	1200-1999
1440–1524	1200-1999
1450–1474	1200-1999
1475–1499	1200-1999
1500–1524	1200-1999
1525–1724	1200-1999
1525–1639	1200-1999
1640–1674	1200-1999
1675–1724	1200-1999
1725–1849	1200-1999
1725–1774	1200-1999
1775–1799	1200-1999
1800–1849	1200-1999
1850–1874	1200-1999
1875–1999	1200-1999
2000-2399	ATU
2000–2100	2000-2399
2000–2020	2000-2399
2021–2024	2000-2399
2025–2028	2000-2399
2029–2075	2000-2399
2200–2299	2000-2399
2300–2399	2000-2399
