type_id	combinations
1	2,3,4,8,15,21,41,158
2	1,3,4,5,8,15,41,158,1910
2B	1,4,5,1954,122,1979,482,1987,224
2D	2,4,5
3	1,2,4,5,15,30,41
4	1,2,3,5,15,30,34,41,47A,47B,100
5	1,2,3,4,5,15,37,41,66A,66B
6	56A,61
8	1,2,5,6,8,1889,67,70,239,241,385,390,1999
8*	1,2,8
9	1,3,4,15,47A
15	1,2,3,4,5,34,41,47A,210
20A	20C,21,136A,154,223,1889,81,84
20C	20A,21,65,130,2010IA,19,237,1933,19,2,1934,40,185,1980,274,6,1990
20D*	20A
21	15,20A,20C
30	1,2,3,4,47D
31	20A,127B
32	34
33	41,105,1979,213,367,11,2,2004,608,618
34	1,3,4,5,8,15,32,41,49,49A,74C,78A,122,122A,123,154,175,1530
38	151,157A,1159
41	1,2,4,34,100
47A	1,2,3,4,15,47B,122A,154
47B	122A,122N
47D	30,100,101
56A	6,56B,56D,225
56B	56A,154,223,248
56D	56A
56A*	56A,1969,2173,2176,1976,1987,206,1992,109
57	56A,225
60	41,225
61	6
62	20D
65	20C,2032
68	175
73	5,184,1981,35
74C*	34,175
75	157A
78	126,1964,187,1999
78A	175
80	43,130A
85	2022
100	2,3,4,5,101,102,103,122A,122M
101	100,102,103
102	100,101,103,1979,271,6,6,1990,1350,1354
103	9,41,100,101,102,103,103A,130,200
103A	103
103C*	78,125B,275,1060
107	200
118	47B,10,2002
121	152A,157,1875,530,3,1979,518,16
122A	47B,122C,122K,1149,206,209,1924,87,1925,58,124,128,1969,5354,1979,21,4,157,4,1987,598
122C	47A,47B,122A,122B,122K,123
122F	47A,47B,122A,122M,1149
122K*	4,47A,47B,122A,122C
122M*	47B,100,122A,122F,122N,130,1979,161
122N*	47B,122M,191,6,120,1968,28,1987,124,249
123	4,34,122C,212,333
125	3,130
126	78,125,126A,130,1149,160,1,1930,134,1964,189,1969,1987,503,585,97,1999
126A*	126,130,1979
127B*	31,1964,190,1978
130	41,103,125,126A,210,2021,1913,237,259,31,37,1964,190,1968,460,1975,1979,197,1987,336,1990,1995,121,125,1996,44,47,1997,69,74,1999
130B	126A
136A*	20A
150	154
151	326,1910,1964,190,1968,90,3,1981,1261,1271
152A*	121
154	1,5,6,20,20A,34,155,223,1030
155	154,331
157	38,121,157A
158	1,2,1655
175	8,34,49A,72,74C,78A,1310A,1530,1899,26,45,1930,1937,1938,1944,1999
177	1640
178A	916
178B	916,1941
178C	916,122,115,289,173,2004,10
200	102,103,110,200A,200B
200A	34,200,200B
200B	200,200A
200C*	200,129
207A	670
210	125,130,2021,1913,75,79,375,1995,592,594,1997,45,1986,1926,1977,1961,1963,2003,1943,1932,1993,242,1996,10,41,2000,2001,1975
212	123,563,2015
217	314,550,888A
219E*	715,6,1990,33
221	220
221A	221,221B
221B	221,221A
222	313,537
222B	313,537
223	1,6,56,56A,56B,154
225	56,56A,60,122,122J,226,537,269,271,1969,1832,4,1984,1290,1295,1999
226	58,91,122J,225,4,1984,1290,1295
227	47B,122A,122B,354,206,210,2,1934,40,1987,616,652,5,1987,486,489
248	56B,61,715
275B	9,9A
285	285A,672
295	2034
300	301,302,303,304,314,314A,315,326,554,567,590,327,327A,400,425C,465,502,505,511A,516,516B,530,531,550,650A,935,1115,1640,1910,57,528,556,22,333,80,113,130,1959,240,242,1968,1968,90,1980,282,3,1981,787,820,1995,57,62,177,182,201,204,261,265,413,417,751,755,765,768,1142,1145,1997,105,110,1998,1999,2002,119,130,2004,379
300A	300,303,513A,531,301,302,321,408,519,550,554,571,650A
301	300,302,313,400,550,650A,300A,303,304,312D,314,327B,400,402,506,513A,516,530,1060,1088,1115,1910,348,292,296,326,543,546,297,318,274,1915,1916,1956,1968,1968,1969,1969,1970,1971,1,1977,1232,1235,1979,1982,1983,1987,510,514,1995,113,116,177,182,273,278,530,534,844,847,1192,1195,1244,1247,1995,1997,289,292,1998,1999,2002,352,357,10,2002,1363,1369,2004,417
302	300,301,303,303A,304,313,316,400,425,516,518,552,552A,554,665,302B,314,461,465,513,550,348,158,161,190,199,424,443,1915,1959,241,242,1979,387,388,5,1982,1989,6,1990,929,933,1995,146,150,167,170,218,220,480,483,759,761,1240,1243,1301,1304,1325,1328,1364,1368,1406,1409,1421,1423,1997,304,308,1998,1999
302B	302,303,516
302C*	317,552,554,556F,1,1977,1381,1383,1995,597,601,731,736,853,856,1998
303	300,302,314,304,313,315,318,327B,513A,550,554,705A,1000,1003,1006,1051,1052,1072,1088,1120,567,348,175,181,303,305,528,556,1,1930,33,338,340,1930,113,130,1959,1968,90,1972,2,1979,912,919,1984,1995,1995,83,85,658,660,671,674,1364,1368,1454,1461,1997,380,384,1998,1999,2002,2002,246,251,450,453,11,1,2003
303A	300,302,314,327B,328,513A,531,550,1119,329,431,443,2,1979,887,902,1995,1301,1304,1325,1328,1998,1896,129,1918
304	300,302,303,552
306	307,505,507,518,412,437,78,84,1981,144,149,1995,667,670,1204,1207,1332,1335,1434,1436,1441,1444,1998,1999,2000,119,121,2002,174,194
307	306,507,518
310	313,327A,402
311	312,313,403,857,955,956B,370,375,398,412,56,1937,1995,80,83,141,144,167,170,317,321,480,483,1050,1052,1108,1111,8,1996,1407,1413,1997,63,66,1998,2000,97,100
312	311,313
312D	301,650A
313	222B,300,301,302,303,303A,310,311,312,314,315,325,327A,327B,329,400,402,408,425,450,480,502,511,518,531,537,552,563,707,884,1115,1119,116,161,175,498,503,77,79,140,146,516,527,406,417,1930,1933,1959,1968,86,459,132,134,1984,1992,1992,1995,62,66,261,265,326,330,372,374,375,378,378,380,536,540,784,786,883,885,946,949,991,993,1217,1220,1234,1237,1351,1352,1363,1364,1997,213,218,1998,9,1999,13,19,1999,313C,2000,72,78,2002,151,166
314	217,300,303A,313,314A,315,321,325,327,327B,400,441,475,502,511,530,530A,531,550,552A,551,554,590,613,725,1049,1052,1060
314A	300,511,650A,935,112,114,6,1990,1079,1083,1995,631,633,765,768,1067,1071,1447,1449,1997,162,165,1998,1999
314A*	300,313,315,327
315	300,590,302,303,304,313,314,314A,318,327A
315A	313,314,315,590,1968,1992,155,200,1995,883,885,1067,1071,1998
316	302,329,665
317	300,302,314,400,551
318	301,302B,303,315,590
321	300A,301,314A,317,592,725,1159
325	313,314,400,945
325*	313,1172,60,66,1919,224,271,1961,63,701,707,1997,368,371,2002,35,38
326	300,328,330,400,505,563,569,650A,1061,1159,1535,1640
327	300,313,314,314A,328,700,1875,26,197,8A,1973,55,69,1977,2000
327A	327B,327C,328,300,303,310,313,315,407,450,510A,511,1119,1121
327B	327A,328,531,1119,301,303A,313,314,327C,1121
327C	327A,327B,327F,327G,328,700,1119,1121,1903,115,126,1953,93,95,7,1993,777,780,1995,611,614,856,860,1036,1039,1997,1998,1999,2003
327F	327A,327C,327G,42,1953,93,95,6,1990,992,994,1995,388,391,2003
327G	327A,327C,328,1119,1653
328	284,217,327A,327B,327C,531,1119,303A,314,326,327,1121,1122,1137
328*	300,530,6,1990,84
328A*	300A,302,513A
329	301,302,531,365,369,1953,1987,408,411,1995,530,534,627,629,637,642,656,658,860,863,1145,1147,1998,1999
330	326,332,592,753,785,804B,1159,1891,103,105,303,342,346,149,163,163,189,303,305,1938,1942,51,75,1968,95,1990,1992,1995,1033,1036,1997,330,334,1998,2000,2002,405,408
331	155,330,332
332	1199,326,330,331,334,1164,1187
333	123
334	332,333,42,375,377,2,1934,40,1953,93,95,1987,25,69,135,139,269,290,6,1990,617,620,1998,2001
335	332
360	361,812,1182,1697
361	360,475
363	365,407,955,1900,534,537,6,1934,35,812,823,1971,1980,278,207,1995,1247,1252,1998,284,229
365	363,407,1199A
400	302,313,402,518,554,810,936,300,301,303,304,314,325,326,329,402,425,465,505,516,530,531,550,552,566,569,590,707,1159,212A,212B,308,312,318,348,406,417,1959,1961,1962,1968,86,459,1980,1981,1983,1995,418,420,466,470,523,526,536,540,586,589,710,717,722,726,811,816,957,960,1234,1237,1421,1423,1997,225,229,9,1999,195,210,1998,400A,1999,10,2002,1351,1355,2002,151,173,2004,178,230,549
402	400,465,302,310,313,409A,425,425A,550,1880,30,38,466,468,2,1934,40,72,74,1959,127,131,1979,170,1991,1995,146,150,189,193,466,470,1348,1351,1378,1380,1997,92,96,1998,9,1999,433,437
403	480,510A,311,313,408,409,425,450,451,510B,511,533,707,709,1897,125,128,99,109,85,94,230,232,1,1930,33,307,311,1966,117,130,2,1979,730,738,1980,1980,1995,6,8,67,70,85,89,144,146,193,195,213,216,689,692,944,946,1321,1325,1371,1373,1383,1387,1449,1450,1998,403,1999
403C	409
404	412,347,463,278,285,89,91,1,1930,33,1963,93,2,1979,447,734,1995,674,677,1321,1325,1998,403
407	311,313,465,510B,652,707
408	310,313,314,400,403,425,451,510A,516,709
409	403,510B,1980
409A	402,403,408,1998
412	302,400,404,27,29,284,247
425	300,302,311,313,400,402,403,425A,425C,431,432,433B,440,441,451,510,706,707,857,205,1955,1968,94,460,1,1977,464,472,1989,1995
425A	300,301,313,402,425,425B,425C,425E,432,433B,441
425B	425A,425C,425E,433B,857
425C	300,425,425A
425D	425,425A,1955,313,317
425E	432
425M	857,1955,340,342,1998
431	480,510A
432	425,425A,425B,480,510A,510B,511,284,259
433B	408,425C,510A,720
434	400,425D,432,335
440	425,433B
442	425B,707,1,1930,33,1995,18,20
449	313,400,992A
450	313,327A,403,451,480,709
451	403,408,450,706,707,709
452B*	408
460A	461,1735
460B	460A
461	930,302,460B,531,550,563,1000,1002,1003,1008
465	400,569,882
470A	470,681
470B	400
471	470,750B,750
475	592,650A
480	403,510A,313,408,428,431,510,511,511A,709
480A	545A,1180,1199A,1,221,225,143,149,8,1996,1400,1402
500	501
501	500
502	300,314,313,314A,510,530,531,532,570,850
505	300,301,306,307,326,400,531,550,551,580,857
507	306,307,571,910,945,1115
510A	327A,403,480,510B,408,409,431,450,511,511A,707,923
510B	403,510A,511,706,923
511	300,313,314,314A,403,409,480,510A
513A	300A,725,857,900
513B	570,571,610
514	884
516	302,300,301,302B,303,400,408
517	671,781
518	302,306,400,566,567,313,552,552A,560,725,810
519	300A,303,315
530	314,300,301,302,313,314,314A,400,502,530A,531,550,551,675
530A	314,530
531	314,327B,328,550,554,300,300A,302,303A,313,400,465,502,505,513A,513C,516,530,551,567,590,1119
533	403
537	222B,222B,300,313,315
545D*	545A,812,1430,332,7,1993,1083,61,1995,838,840,1999,7
550	300,301,314,531,551,780,302,303,303A,304,329,400,461,505,513,516,530,707
551	314,531,780,300,301,313,314,505,530,550,554,567,590,968
552	302,302C,303A,317,400,425A,425C,518,554,560
554	300,302,400,531,303,313,314,317,329,402,465,513A,513B,551,552,552A,556F,560,570,610,613,667,673,131,134,19,29,426,429,165,40,1,1930,33,82,84,90,1,1930,33,253,255,1931,70,73,124,1935,134,1942,14,3,1981,287,299,1995,89,92,146,150,541,544,597,601,853,856,1240,1243,1301,1304,1325,1328,1380,1383,1406,1409,1998,1999,5,1999,2001,2001,81,83,202,11,1,2003,2004,380,383
555	303,563,1960G,19,138,148,18,8,1925,45,2,1934,40,129,131,1935,1942,5,1942,103,111,1968,9,442,1969,3650,1978,1980,4,1984,1232,1240,1984,41,46,1995,842,844,1307,1312,1997,277,279,1998,1999
559	571
560	561
561	560
562	566,1626
563	564,569,212,313,326,461,554,555,566,1541,1960G
564	480,503,563,591,613,675,735,954
565	715
566	518,567,569,302,306,400,560,562,563,567A,735
567	300,303,518,531,566,567A
567A	300,303,518,566,567
