type_id	motif_id
1	K1026.
1	K341.2.
1	K341.2.1.
1	K371.1.
10***	K891.5.1.
10***	K891.5.2.
100	J581.1.
1000	F613.3.
1000	K172.
1001	D2186.
1002	K1400.
1003	K1411.
1004	K404.1.
1004	K404.2.
1004	K404.3.
1005	K1441.
1006	K1442.
1007	K1440.
1008	K1412.
1009	K1413.
1009	K1417.
101	K231.1.3.
1010	K1415.
1011	K1416.
1012	K1461.1.
1012A	K1461.3.
1013	K1462.
1015	K1418.
1015	W111.5.9.
1016	K1443.
1017	K1425.
102	K254.1.
1029	K1691.
103	B262.
103	K2323.
103	K2324.
1030	K171.1.
1031	K1422.
1035	K1424.
1035	K1424.1.
1036	K171.4.
1037	K171.5.
103A	B281.9.1.
1045	K1744.
1048	K186.
1049	K1741.1.
1049	K1741.3.
105	J1662.
105*	K522.
1050	K1421.
1050	K178.
1050	K44.
1050	K44.1.
1051	K1112.
1052	K71.
1053	K1741.2.
1059*	K1117.
1060	K62.
1060A	K73.
1061	K63.
1062	K18.3.
1063	K18.2.
1063A	K18.1.
1063A	K18.1.1.
1063A	K18.1.2.
107	J1023.
1070	K12.1.
1071	K12.2.
1072	K11.6.
1073	K15.1.
1074	K11.1.
1080*	J1169.5.
1080*	K87.1.
1082	K72.
1083	K785.
1084	K84.1.
1085	K61.
1086	K17.1.
1087	K14.
1088	K81.1.
1088	K82.1.
1088	K82.3.
1089	K42.1.
1090	K42.2.
1091	K216.2.
1091	K31.1.
1091A	H522.
1091A	K216.2.1.
1094	K91.
1095	K83.1.
1095	K83.2.
1096	K47.
1099	F531.6.6.
1099	Q551.3.4.
110	J671.1.
111	K561.1.1.
1115	K525.1.
1116	K1733.
1117	K1601.
1119	K1611.
111A	U31.
112	J211.2.
112**	J132.
1120	G519.1.4.
1121	G512.3.2.1.
1122	G519.1.
1130	K275.
1131	G512.3.1.
1131	K1033.
1132	G561.
1133	K1012.1.
1133	K1012.2.
1133	K241.
1135	K1010.
1135	K1011.
1137	D1612.2.1.
1137	F512.1.1.
1137	F531.1.1.1.
1137	G100.
1137	K1010.
1137	K1011.
1137	K521.1.
1137	K603.
1138	K1013.1.
1139	K522.2.
113A	B342.
113B	K815.13.
113B	K815.7.
1140	K331.1.
1141	J1791.6.2.
1141	R351.
1142	K1181.
1145	K2345.
1146	K1718.2.
1147	K1177.
1149	K1715.
1149	K1715.2.
1149	K1715.4.
115	J2066.1.
1150	K1725.
1152	G572.2.
1152	K1711.1.
1152	K1715.12. 92	 K1716. 1151	 K1717. 1147	 K1718.1.
1152	K2324.1.
1153	K1732.
1157	J2131.4.1.
1157	K1057.
1159	K1111.0.1.
