type_id	ref_term
1	Argentine
1	Basque
1	Byelorussian
1	Cambodian
1	Catalan
1	Cheremis/Mari
1	Chinese
1	Chuvash
1	Costa Rican
1	Dutch
1	East African
1	Egyptian
1	Estonian
1	Finnish
1	Flemish
1	French
1	Frisian
1	Georgian
1	German
1	Ghanaian
1	Greek
1	Gypsy
1	Hungarian
1	Indian
1	Irish
1	Italian
1	Jewish
1	Karelian
1	Korean
1	Lappish
1	Latvian
1	Liberian
1	Lithuanian
1	Livonian
1	Lydian
1	Mayan
1	Mexican
1	Mongolian
1	Mordvinian
1	Namibian
1	Nenets
1	Norwegian
1	Ossetian
1	Palestinian
1	Paraguayan
1	Polish
1	Portuguese
1	Rumanian
1	Russian
1	Slovakian
1	Slovene
1	Sorbian
1	South African
1	South American
1	Spanish
1	Sri Lankan
1	Sudanese
1	Swedish
1	Syrjanian
1	Tatar
1	Turkish
1	Ukrainian
1	Votyak
1	Wepsian
1	Wotian
1	Yakut
2	African American
2	Basque
2	Bulgarian
2	Byelorussian
2	Cheremis/Mari
2	Chinese
2	Chuvash
2	Czech
2	Dutch
2	Estonian
2	Faeroese
2	Finnish
2	Flemish
2	French
2	Frisian
2	Georgian
2	German
2	Greek
2	Gypsy
2	Hungarian
2	Icelandic
2	Indian
2	Iranian
2	Irish
2	Italian
2	Japanese
2	Jewish
2	Karelian
2	Korean
2	Lappish
2	Latvian
2	Livonian
2	Lydian
2	Mexican
2	Nenets
2	Norwegian
2	Ossetian
2	Polish
2	Puerto Rican
2	Russian
2	Siberian
2	Slovakian
2	Slovene
2	Sorbian
2	South African
2	Spanish
2	Swedish
2	Syrjanian
2	Tadzhik
2	Tatar
2	Turkish
2	US-American
2	Ukrainian
2	Votyak
2	Walloon
2	Wepsian
2	Wotian
2	Yakut
2A	Algerian
2A	Bosnian
2A	Dutch
2A	Egyptian
2A	Estonian
2A	French
2A	Georgian
2A	German
2A	Greek
2A	Hungarian
2A	Indian
2A	Indonesian
2A	Iranian
2A	Iraqi
2A	Irish
2A	Italian
2A	Jewish
2A	Jordanian
2A	Moroccan
2A	New Zealand
2A	Ossetian
2A	Palestinian
2A	Portuguese
2A	Qatar
2A	Rumanian
2A	Saudi Arabian
2A	Serbian
2A	South African
2A	Spanish
2A	Sudanese
2A	Syrian
2A	Tunisian
2A	Turkish
2A	Ukrainian
2B	Catalan
2B	Dutch
2B	French
2B	Greek
2B	Hungarian
2B	Mordvinian
2B	Portuguese
2B	Spanish
2D	Bulgarian
2D	Catalan
2D	Croatian
2D	French
2D	German
2D	Hungarian
2D	Jewish
2D	Slovene
2D	Spanish
2D	Walloon
3	Argentine
3	Bulgarian
3	Byelorussian
3	Cape Verdian
3	Catalan
3	Croatian
3	Czech
3	Estonian
3	Finnish
3	Georgian
3	German
3	Greek
3	Hungarian
3	Irish
3	Italian
3	Jewish
3	Karelian
3	Ladinian
3	Laotian
3	Lappish
3	Latvian
3	Macedonian
3	Mayan
3	Mexican
3	Mongolian
3	Mordvinian
3	Polish
3	Polynesian
3	Portuguese
3	Rumanian
3	Russian
3	Serbian
3	Slovakian
3	Slovene
3	Sorbian
3	Spanish
3	Swedish
3	Tadzhik
3	Turkish
3	Ukrainian
3	Wepsian
3	Wotian
3	Yakut
3*	Finnish
3*	Flemish
3*	German
3*	Hungarian
3*	Latvian
3*	Spanish
3*	Swedish
4	Algerian
4	Basque
4	Bulgarian
4	Buryat
4	Byelorussian
4	Catalan
4	Chilean
4	Chuvash
4	Congolese
4	Costa Rican
4	Croatian
4	Czech
4	Dominican
4	East African
4	Estonian
4	Finnish
4	French
4	Georgian
4	German
4	Greek
4	Guatemalan
4	Gypsy
4	Hungarian
4	Indian
4	Italian
4	Jewish
4	Karelian
4	Laotian
4	Lappish
4	Latvian
4	Lithuanian
4	Mayan
4	Mongolian
4	Mordvinian
4	Moroccan
4	Namibian
4	Portuguese
4	Russian
4	Serbian
4	Sierra Leone
4	Slovakian
4	Slovene
4	Sorbian
4	South African
4	South American
4	Spanish
4	Sudanese
4	Swedish
4	Tadzhik
4	Tunisian
4	Turkish
4	Ukrainian
4	Wepsian
4	West Indies
4	Wotian
4	Yakut
5	African American
5	Albanian
5	Basque
5	Brazilian
5	Bulgarian
5	Chilean
5	Chinese
5	Congolese
5	Dominican
5	East African
5	Filipino
5	Finnish
5	French
5	German
5	Greek
5	Guinea Bissau
5	Hungarian
5	Indian
5	Indonesian
5	Lappish
5	Malaysian
5	Mexican
5	Namibian
5	Norwegian
5	Pakistani
5	Polish
5	Puerto Rican
5	South African
5	South American
5	Spanish
5	Sri Lankan
5	Sudanese
5	Swedish
5	Ukrainian
6	Algerian
6	Basque
6	Bulgarian
6	Catalan
6	Chilean
6	Chinese
6	Dutch
6	Estonian
6	Finnish
6	Flemish
6	French
6	Georgian
6	German
6	Greek
6	Hungarian
6	Indian
6	Iranian
6	Irish
6	Italian
6	Japanese
6	Jordanian
6	Lappish
6	Latvian
6	Lithuanian
6	Malagasy
6	Mexican
6	Oman
6	Ossetian
6	Puerto Rican
6	Sardinian
6	South African
6	South American
6	Spanish
6	Swedish
6	Tadzhik
6	Vietnamese
6*	Hungarian
6*	Italian
6*	Jewish
7	Danish
7	Estonian
7	Finnish
7	German
7	Japanese
7	Nigerian
7	Swedish
8	African American
8	Argentine
8	Chinese
8	Chuvash
8	Dagestan
8	East African
8	Eskimo
8	Estonian
8	Finnish
8	French
8	Frisian
8	Georgian
8	German
8	Guatemalan
8	Hawaiian
8	Indian
8	Indonesian
8	Jewish
8	Korean
8	Lappish
8	Latvian
8	Mayan
8	Mexican
8	Namibian
8	Peruvian
8	Puerto Rican
8	Russian
8	Siberian
8	South African
8	South American
8	Spanish
8	Sudanese
8	Swedish
8	Tuva
8	US-American
8	Ukrainian
8	Uzbek
8	Vietnamese
8*	Chinese
8*	Estonian
8*	Finnish
8*	Lappish
9	Abkhaz
9	Algerian
9	Argentine
