motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
AO-A99	A
A10	AO-A99
A20	AO-A99
A30	AO-A99
A40	AO-A99
A50	AO-A99
A60	AO-A99
A70	AO-A99
A100-A499	A
A100-A199	A100-A499
A100	A100-A199
A110	A100-A199
A120	A100-A199
A140	A100-A199
A150	A100-A199
A160	A100-A199
A170	A100-A199
A180	A100-A199
A190	A100-A199
A200-A299	A100-A499
A200	A200-A299
A210	A200-A299
A220	A200-A299
A240	A200-A299
A250	A200-A299
A260	A200-A299
A270	A200-A299
A280	A200-A299
A300-A399	A100-A499
A300	A300-A399
A310	A300-A399
A400-A499	A100-A499
A400	A400-A499
A410	A400-A499
A420	A400-A499
A430	A400-A499
A440	A400-A499
A450	A400-A499
A460	A400-A499
A490	A400-A499
A500-A599	A
A500	A500-A599
A510	A500-A599
A520	A500-A599
A530	A500-A599
A560	A500-A599
A570	A500-A599
A580	A500-A599
A590	A500-A599
A600-A899	A
A600-A699	A600-A899
A600-A649	A600-A699
A610	A600-A649
A620	A600-A649
A630	A600-A649
A640	A600-A649
A650-A699	A600-A699
A650	A650-A699
A660	A650-A699
A670	A650-A699
A690	A650-A699
A700-A799	A600-A899
A700	A700-A799
A710-A739	A700-A799
A710	A710-A739
A720	A710-A739
A740-A759	A700-A799
A740	A740-A759
A750	A740-A759
A760-A789	A700-A799
A760	A760-A789
A770	A760-A789
A780	A760-A789
A790-A799	A700-A799
A800-A899	A600-A899
A800-A839	A800-A899
A810	A800-A839
A820	A800-A839
A830	A800-A839
A840	A800-A899
A850	A800-A899
A870	A800-A899
A900-A999	A
A900	A900-A999
A910-A949	A900-A999
A910	A910-A949
A920	A910-A949
A930	A910-A949
A940	A910-A949
