rownum	motif_id	motif_text_with_references
1	A0	Creator. Referenced in Buddhist religious texts, Linked to Armenia, On the continent of Africa, Referenced in Hindu religious texts, Linked to Iceland, Linked to India, Linked to Ireland, Referenced in Jewish religious texts, Linked to Mexico
2	A1	Identity of creator.
3	A1.1	Sun-god as creator. Linked to Egypt, In the historic region of Persia
4	A1.2	Grandfather as creator. Associated with the tribe So. Am. Indian (Paressi)
5	A1.3	Stone-woman as creator. Associated with the tribe So. Am. Indian (Paressi)
6	A1.4	Brahma as creator. Referenced in Buddhist religious texts
7	A10	Nature of the creator. Linked to India
8	A100	Deity.
9	A1000	World catastrophe. The world is destroyed. The incidents are usually the same whether a final destruction is thought of or a destruction which may be overcome by a renewal of the earth. Associated with the tribe So. Am. Indian (Guaraní)
10	A1001	Series of world catastrophes. Linked to Iceland, In the historic region of Aztec, Linked to Lithuania
11	A1002	Doomsday. Catastrophes precede the Day of Judgment. Linked to Estonia, Linked to Iceland, Referenced in Hindu religious texts, Referenced in Buddhist religious texts, Referenced in Jewish religious texts, Linked to Ireland, Linked to India
12	A1002.1	Widespread calamity when feast of John the Baptist shall fall on certain day. Linked to Ireland
13	A1002.2	Signs before the Day of Judgment. Linked to Ireland
14	A1002.2.1	No rainbow for fifteen years before the Day of Judgment. Linked to Ireland
15	A1002.2.2	Bleeding wood as sign of Doomsday. Referenced in Jewish religious texts
16	A1002.2.3	Talking stone as sign of Doomsday. Referenced in Jewish religious texts
17	A1002.2.4	Unusual migration of birds as sign of Doomsday. Referenced in Jewish religious texts
18	A1003	Calamity as punishment for sin. Associated with the tribe So. Am. Indian (Chiriguano)
19	A1005	Preservation of life during world calamity. Associated with the tribe So. Am. Indian (Chiriguano)
20	A1005.1	Preservation of life of certain persons in Ireland during Flood. Linked to Ireland
21	A1005.2	Inclosure made during world calamity and only best types of animals and men preserved. Linked to India, In the historic region of Persia
22	A1005.3	Holy Land not ravaged by deluge. Referenced in Jewish religious texts
23	A1006	Renewal of world after world calamity. Associated with the tribe So. Am. Indian (Bakairi)
24	A1006.1	New race from single pair (or several) after world calamity. Associated with the tribe So. Am. Indian (Yuracaré)
25	A1006.2	New race from incest after world calamity. Referenced in Hindu religious texts, Linked to India, Linked to China
26	A1006.3	New race made of red earth after world calamity.
27	A1006.4	New race from union of girl and rat. Linked to India
28	A1006.5	Ireland repopulated by persons who escape flood. Linked to Ireland
29	A1006.6	Ireland, waste for centuries after flood, is repopulated by immigrants. Linked to Ireland
30	A1006.7	Whole tribe descended from lone woman-survivor of doomed city. Linked to India
31	A1006.8	One bear-child escapes death, is ancestor of all bears. Linked to India
32	A1006.9	After world-fire life recreated from tree. Associated with the tribe Africa (Fang)
33	A1007	World calamity will begin in Palestine. Referenced in Jewish religious texts
34	A1009	World catastrophes miscellaneous.
35	A1009.1	First race of men perishes when sun first rises. Associated with the tribe So. Am. Indian (Aymara)
36	A1009.2	Animate and inanimate objects attempt to destroy humanity. Associated with the tribe So. Am. Indian (Chiriguano)
37	A1009.3	Large stone falls from sky killing all but one couple. Associated with the tribe So. Am. Indian (Mori)
38	A101	Supreme god. One god chief of all other gods. (Often not worshipped as other gods are.) Associated with the tribe Africa (Fang), Associated with the tribe So. Am. Indian (Guaraní)
39	A101.1	Supreme god as creator. Linked to India, Linked to Tarascan, Linked to Iceland, Linked to Armenia
40	A1010	Deluge. Inundation of whole world or section. Linked to Eskimo (Central), Linked to Philippines (Tinguian), Linked to Lat. Am. Indian (Carib), On the continent of No. Am. Indian (general)
41	A1010.1	Sun and moon do not shine during deluge. Referenced in Jewish religious texts
