rownum	motif_id	ref_term
1	A0	Africa
2	A0	Armenia
3	A0	Buddhist
4	A0	Hindu
5	A0	Iceland
6	A0	India
7	A0	Ireland
8	A0	Jewish
9	A0	Mexico
10	A1.1	Egypt
11	A1.1	Persia
12	A1.2	So. Am. Indian (Paressi)
13	A1.3	So. Am. Indian (Paressi)
14	A1.4	Buddhist
15	A2.1	Hawaii
16	A2.1	Iceland
17	A2.1	Oceania
18	A2.2	China
19	A3	India
20	A5.1	Hawaii
21	A7.1	Guaray'
22	A10	India
23	A11	Jewish
24	A11.1	Jewish
25	A12	Aztec
26	A12	Egypt
27	A12	Greece
28	A12	Hindu
29	A12	India
30	A12.1	Hawaii
31	A12.1	Japan
32	A13.1.1	Iceland
33	A13.2	Hawaii
34	A13.2.1	Eskimo
35	A13.2.1	Koryak
36	A13.2.2	California
37	A13.2.2	India
38	A13.2.3	Greece
39	A13.3.1	India
40	A13.3.2	So. Am. Indian (Lengua)
41	A13.4.1	Buin
42	A13.4.2	Guaray'
43	A15.1	Chibcha
44	A15.1.1	Leper's Island
45	A15.2	So. Am. Indian (Guapori River)
46	A15.3.1	Inca
47	A15.4.1	India
48	A17	Jewish
49	A18.1	China
50	A18.2	China
51	A18.3	China
52	A18.4	China
53	A18.5	China
54	A18.6	China
55	A19.1	India
56	A19.1	So. Am. Indian
57	A19.2	Africa (Luba)
58	A21.1	Finland
59	A21.1	Iroquois
60	A21.2	Ekoi
61	A22	China
62	A23	China
63	A25	Hottentot
64	A25.1	So. Am. Indian (Chibcha)
65	A26.1	Africa (Luba)
66	A27	China
67	A30	Hawaii
68	A30	Inca
69	A30	Tahiti
70	A31	American Indian
71	A31	India
72	A32.1	India
73	A32.1	So. Am. Indian
74	A32.2	India
75	A32.3	So. Am. Indian (Munduruku)
76	A32.3.1	So. Am. Indian (Munduruku)
77	A32.3.2	So. Am. Indian (Guarayos)
78	A33	India
79	A33.1.1	Hawaii
80	A33.2	India
81	A33.2	Sumatra
82	A33.2	Tonga
83	A33.4.1	So. Am. Indian (Munduruku)
84	A36	China
85	A37.1	California
86	A37.1	India
87	A38.1	Jewish
88	A40	Jewish
89	A42	Jewish
90	A42.1	Jewish
91	A42.1.1	Jewish
92	A42.2	Jewish
93	A43	Siberia
94	A44	Jewish
95	A45	Jewish
96	A50	India
97	A50	Jewish
98	A50	Persia
99	A50.1	Jewish
100	A52.0.1	Jewish
101	A52.0.2	Jewish
102	A52.0.3	Jewish
103	A52.0.4	Jewish
104	A52.0.5	Jewish
105	A52.0.6	Jewish
106	A52.0.7	Lithuania
107	A52.0.8	Lithuania
108	A52.1.1	Jewish
109	A52.1.2	Jewish
110	A52.1.3	Jewish
111	A52.1.4	Jewish
112	A52.1.5	Jewish
113	A52.2.1	Jewish
114	A52.2.2	Jewish
115	A52.2.3	Jewish
116	A52.2.4	Jewish
117	A52.2.5	Jewish
118	A52.3	Jewish
119	A54.1	Jewish
120	A60	So. Am. Indian (Toba)
121	A60	So. Am. Indian (Mataco)
122	A63	Estonia
123	A63.1	India
124	A63.2	Lithuania
125	A63.4.1	Lithuania
126	A63.5	Ireland
127	A63.5	Jewish
128	A63.5.1	Jewish
129	A63.6	India
130	A63.6	Jewish
131	A63.7	Hawaii
132	A63.7.1	Ireland
133	A63.8	Jewish
134	A67	New Hebrides
135	A71	Greece
136	A72	Aztec
137	A72	India
138	A72	Lat. Am. Indian
139	A73	So. Am. Indian (Yuracaré)
140	A74.1	Jewish
141	A74.2	Jewish
142	A75	China
143	A76	China
144	A77	China
145	A78	California
146	A78	India
147	A81	California
148	A81	India
149	A84.1	India
150	A85	India
151	A87	So. Am. Indian (Guarayos)
152	A101	Africa (Fang)
153	A101	So. Am. Indian (Guaraní)
154	A101.1	Armenia
155	A101.1	Iceland
156	A101.1	India
157	A101.1	Tarascan
158	A102.1	So. Am. Indian (Chiriguano)
159	A102.2	Greece
160	A102.2	Jewish
161	A102.3	Jewish
162	A102.4	Jewish
163	A102.5	India
164	A102.5	Jewish
165	A102.6	Jewish
166	A102.7	Jewish
167	A102.8	Jewish
168	A102.9	Jewish
169	A102.10	Jewish
170	A102.11	Jewish
171	A102.12	Jewish
172	A102.13	Jewish
173	A102.14	Jewish
174	A102.15	Jewish
175	A102.16	Jewish
176	A102.17	Jewish
177	A102.18	Buddhist
178	A102.19	Jewish
179	A103	Greece
180	A103	Hindu
181	A103	India
182	A104.1	Hawaii
183	A104.2	Hawaii
184	A104.3	Hawaii
185	A104.4	Hawaii
186	A106	Indians (Antioquians)
187	A106.0.1	India
188	A106.1	Babylonia
189	A106.1.1	India
190	A106.2.1	India
191	A106.2.1	Jewish
192	A106.2.1.1	India
193	A106.2.1.2	India
194	A106.2.2	Jewish
195	A106.3	Jewish
196	A107	Babylonia
197	A107	Ireland
198	A107	Jewish
199	A108	China
200	A108.1	Hawaii
201	A108.1	Ireland
202	A109.1	Hawaii
203	A109.1	Iceland
204	A109.2	Maori
205	A111	Hawaii
206	A111.1	So. Am. Indian (Apapocuva)
207	A111.2	Iceland
208	A111.3	Tahiti
209	A111.3.0.1	Greece
210	A111.3.1	Marquesas
211	A111.3.2	Tuamotu
212	A111.3.3	Hawaii
213	A112	India
214	A112.1	India
215	A112.1.1	Greece
216	A112.1.1	Iceland
217	A112.1.1.1	India
218	A112.2	Japan
219	A112.3	Japan
220	A112.4	Iceland
221	A112.4.1	Iceland
222	A112.4.2	Iceland
223	A112.5	Iceland
224	A112.6	Iceland
225	A112.6	Tahiti
226	A112.7.1	Marquesas
227	A112.7.2	Marquesas
228	A112.7.3	Hawaii
229	A112.7.4	Marquesas
230	A112.8	Ireland
231	A112.9	India
232	A112.9.1	India
233	A112.10	Polynesia
234	A112.11	Easter Island
235	A113	Babylonia
236	A113	India
237	A113	Ireland
238	A114.1	Greece
239	A114.1.1	Minahassa (Celebes)
240	A114.1.1.1	India
241	A114.1.1.2	Hawaii
242	A114.2	So. Am. Indian (Huamachuco)
243	A114.2.1	Hawaii
244	A114.3	Easter Island
245	A114.4	So. Am. Indian (Tembé)
246	A115.1	Japan
247	A115.2	Norse
248	A115.3	Hawaii
249	A115.5	Marquesas
250	A115.6	Tahiti
251	A115.7	India
252	A116	Armenia
253	A116	Germany
254	A116	Germanic
255	A116	Greece
256	A116	Hindu
257	A116	Ireland
258	A116.2	Ireland
259	A116.2.1	India
260	A117.1	India
261	A117.2	India
262	A117.2	Maori
263	A117.3	Hawaii
264	A117.4	Maori
265	A117.5	Easter Island
266	A118	Tahiti
267	A119.1	Am. Indian (Apapocuva)
268	A119.1	So. Am. Indian (Apapocuva)
269	A119.2	Tahiti
270	A119.3	Hawaii
271	A119.3	Tonga
272	A120	Jewish
273	A120.1	Ireland
274	A120.2	Hawaii
275	A120.3	Jewish
276	A120.4	Tonga
277	A121.1	Jewish
278	A121.2	Hawaii
279	A121.2	Jewish
280	A122	Greece
281	A122	Hindu
282	A123	Jewish
283	A123.1.1	Greece
284	A123.1.2	Tahiti
285	A123.1.3	Marquesas
286	A123.1.4	Hawaii
287	A123.1.5	Hawaii
288	A123.1.6	Hawaii
289	A123.1.7	Hawaii
290	A123.2	Jewish
291	A123.2.1.1	India
292	A123.2.1.2	China
293	A123.2.1.3	Greece
294	A123.2.1.3	India
295	A123.2.1.3	Jewish
296	A123.2.1.4	Jewish
297	A123.2.1.5	Hindu
298	A123.2.2.1	Hawaii
299	A123.2.2.2	Tonga
300	A123.3.1	China
301	A123.3.1	Hindu
302	A123.3.1.1	Buddhist
303	A123.3.1.1	India
304	A123.3.1.2	India
305	A123.3.1.2	Ireland
306	A123.3.1.3	India
307	A123.3.1.4	India
308	A123.3.1.4.1	India
309	A123.3.2	Buddhist
310	A123.3.2	Hawaii
311	A123.4.1	Slavic (Elbe)
312	A123.4.1.1	Ireland
313	A123.4.1.2	India
314	A123.4.1.3	Tahiti
315	A123.4.2	Hawaii
316	A123.5.1	China
317	A123.5.1	Greece
318	A123.5.1	Hindu
319	A123.5.1	India
320	A123.5.1	Ireland
321	A123.5.2	Jewish
322	A123.6.1	India
323	A123.7.1	Hindu
324	A123.7.2	Iceland
325	A123.8	India
326	A123.9	India
327	A123.10	India
328	A123.11	Fiji
329	A123.11	Tahiti
330	A124	Iceland
331	A124	India
332	A124.0.1	Ireland
333	A124.0.1	Jewish
334	A124.1	Hindu
335	A124.1	India
336	A124.2	Iceland
337	A124.3	India
338	A124.4	Jewish
339	A124.5	Hawaii
340	A125	Ireland
341	A125	Jewish
342	A125	Samoa
343	A125.1	Ireland
344	A125.1.1	Ireland
345	A125.2	Iceland
346	A125.3	Iceland
347	A125.4	So. Am. Indian (Huarochiri)
348	A128	Egypt
349	A128	Greece
350	A128	India
351	A128	Jewish
352	A128.1	China
353	A128.1	Iceland
354	A128.1	India
355	A128.2	Iceland
356	A128.2	Ireland
357	A128.2	Jewish
358	A128.2.1	Ireland
359	A128.2.2	Ireland
360	A128.3	Borneo
361	A128.3.1	Ireland
362	A128.4	Iceland
363	A128.4	Ireland
364	A128.5	Greece
365	A128.5.1	Iceland
366	A131	Egypt
367	A131	Ireland
368	A131	Lat. Am. Irish myth
369	A131	Mexico
370	A131.1	Assyrian
371	A131.1	Babylonia
372	A131.1	Samoa
373	A131.2	Hindu
374	A131.3.1	Ireland
375	A131.3.2	Tonga
376	A131.3.3	Egypt
377	A131.3.3	Ireland
378	A131.4	Hindu
379	A131.4	India
380	A131.5	Greece
381	A131.6	Egypt
382	A131.6	Ireland
383	A131.7	Jewish
384	A131.8	India
385	A132	Chibcha
386	A132	Egypt
387	A132.0.1	India
388	A132.0.1.1	India
389	A132.0.1.2	Tonga
390	A132.1	China
391	A132.1	Fiji
392	A132.1	Hindu
393	A132.1	India
394	A132.1	Ireland
395	A132.1	Jewish
396	A132.1.1	India
397	A132.2	China
398	A132.2	Hindu
399	A132.2	India
400	A132.3.1	India
401	A132.3.1	Ireland
402	A132.3.1	Jewish
403	A132.3.1.1	Ireland
404	A132.3.1.1	Jewish
405	A132.3.2	Ireland
406	A132.3.3	Jewish
407	A132.4	Ireland
408	A132.5	Ireland
409	A132.6	Ireland
410	A132.6.1	Hawaii
411	A132.6.1	Ireland
