motif_id	text
A0.	Creator.
A1.	Identity of creator.
A1.2.	Grandfather as creator.
A1.4.	Brahma as creator.
A10.	Nature of the creator.
A100.	Deity. Gods.
A1000.	The incidents are usually the same whether a final destruction is thought of or a destruction which may be overcome by a renewal of the earth. The world is destroyed. World catastrophe.
A1001.	Series of world catastrophes.
A1002.	Alexander. Catastrophes precede the Day of Judgment. Doomsday.
A1002.1.	Widespread calamity when feast of John the Baptist shall fall on certain day.
A1002.2.	Signs before the Day of Judgment.
A1002.2.1.	No rainbow for fifteen years before the Day of Judgment.
A1002.2.2.	Bleeding wood as sign of Doomsday.
A1002.2.3.	Talking stone as sign of Doomsday.
A1002.2.4.	Unusual migration of birds as sign of Doomsday.
A1003.	Calamity as punishment for sin.
A1005.	Preservation of life during world calamity.
A1005.1.	Preservation of life of certain persons in Ireland during Flood.
A1005.2.	Inclosure made during world calamity and only best types of animals and men preserved.
A1005.3.	Holy Land not ravaged by deluge.
A1006.	Renewal of world after world calamity.
A1006.1.	New race from single pair or several after world calamity.
A1006.2.	New race from incest after world calamity.
A1006.3.	New race made of red earth after world calamity.
A1006.4.	New race from union of girl and rat.
A1006.5.	Ireland repopulated by persons who escape flood.
A1006.6.	Ireland, waste for centuries after flood, is repopulated by immigrants.
A1006.7.	Whole tribe descended from lone woman-survivor of doomed city.
A1006.8.	One bear-child escapes death, is ancestor of all bears.
A1006.9.	After world-fire life recreated from tree.
A1007.	World calamity will begin in Palestine.
A1009.	World catastrophes miscellaneous.
A1009.1.	First race of men perishes when sun first rises.
A1009.2.	Animate and inanimate objects attempt to destroy humanity.
A1009.3.	Large stone falls from sky killing all but one couple.
A101.	One god chief of all other gods. Supreme god.
A101.1.	Supreme god as creator.
A1010.	Deluge. Inundation of whole world or section. Religion and Ethics. springs.
A1010.1.	Sun and moon do not shine during deluge.
A1010.2.	Great flood lasts eight months.
A1011.	Local deluges.
A1011.1.	Flood partially caused by breaking forth of springs.
A1011.2.	Flood caused by rising of river.
A1011.3.	God's promise never to destroy world by water does not apply to local floods.
A1012.	Flood from fluids of the body. Flood from tears.
A1012.1.	Flood from tears.
A1012.1.1.	Flood from Adam's tears of repentance.
A1012.1.2.	Flood from tears of grieving lover.
A1012.2.	Flood from urine.
A1012.2.1.	Flood caused by loosing fairy horse and allowing it to stale.
A1012.3.	Flood caused by loosing fairy horse and allowing it to stale. Flood from blood.
A1012.3.1.	Flood from slain giant's blood. Boberg.
A1013.	Flood from belly. It flows from pierced belly of monster.
A1013.1.	Vomiting of a whale causes flood.
A1015.	Flood caused by gods or other superior beings.
A1015.1.	Flood from conflict of gods. Sea god and rain god.
A1015.1.1.	Flood from conflict of monsters giant animals.
A1015.2.	Spirit causes deluge.
A1015.3.	Flood caused by deity stamping on floor of heavens.
A1016.	Pseudo-scientific explanations of the flood.
A1016.2.	Deluge produced by hot liquid which burns as it floods.
A1016.3.	Flood caused by melting of ice after great spell of cold.
A1016.4.	Flood from broken calabashes of water.
A1016.5.	Making mountains out of flat earth causes flood.
A1016.6.	Moon falls into sea and causes flood by overflowing.
A1016.7.	Flood whenever shard at earth's core moves.
A1017.	Flood caused to satisfy emotional need.
A1017.1.	Desire of man for sun causes flood.
A1017.2.	Flood caused by prayer.
A1017.3.	Flood caused by curse.
A1018.	Flood as punishment for incest.
A1018.1.	Flood as punishment for breaking tabu.
A1018.2.	Flood as punishment for incest.
A1018.3.	Flood brought as revenge for injury.
A1019.	Deluge
A1019.1.	Subsidence of earth beneath flood.
A1019.2.	Serpent king causes flood by damming rivers.
A1019.3.	Flood because earth has become too thickly populated.
A1019.4.	Flood puts out world-fire.
A102.	Characteristics of deity.
A102.1.	Omniscient god.
A102.10.	Unity of God.
A102.11.	Purity of God.
A102.12.	Perfect God.
A102.13.	Loving kindness of God.
A102.14.	Goodness of God.
A102.15.	Modesty of God.
A102.16.	Justice of God.
A102.17.	Anger of God.
A102.18.	Imperfect god, subject to death and rebirth.
A102.19.	Conflict between God's justice and mercy.
A102.3.	Immutable god.
A102.4.	Omnipotent god.
A102.5.	Omnipresent god.
A102.6.	Eternal god.
A102.7.	Holy god.
A102.8.	Sleepless god.
A102.9.	Invisible god.
A1020.	Escape from deluge.
A1021.	Deluge: escape in ark. Pelew Is. These are only a selection of the American Indian references.
A1021.0.1.	Persons excluded from Noah's ark build another ark and sail to Ireland.
A1021.0.2.	Escape from deluge in wooden cask drum.
A1021.0.3.	Deluge: escape in gourd.
A1021.0.4.	Deluge: escape on floating tree.
A1021.0.5.	Deluge: escape in hollow tree trunk.
A1021.0.6.	Deluge: escape on floating building.
A1021.1.	Pairs of animals in ark. Seed of all beings put into ark to escape destruction.
A1021.2.	Bird scouts sent out from ark. Squirrel's markings and immunity from falling as reward by deity. obtained during deluge.
A1022.	Escape from deluge on mountain.
A1023.	Escape from deluge on tree.
A1024.	Escape from deluge in cave.
A1025.	Escape from deluge on island.
A1026.	Escape from deluge on foot.
A1027.	Rescue from deluge by fish.
A1028.	Bringing deluge to end. Rescue from deluge by fish.
A1028.1.	Trickster sticks spear in ground and leads water to sea, ending deluge.
A1028.2.	Birds fill sea with dirt and overcome flood.
A1029.	Escape from deluge miscellaneous.
A1029.1.	Marvelous tree survives deluge.
A1029.2.	Four persons who, in four quarters of the world, survived the flood and thus preserved ancient tradition.
A1029.3.	Escape from deluge in pot or jar.
A1029.4.	Flood: refuge in huge gourds with seven rooms in each.
A1029.5.	Escape from deluge in box or basket.
A1029.6.	Survivors of flood establish homes.
A1030.	A conflagration destroys the earth. Sometimes as with the flood legends the tradition is somewhat local and does not refer to an actual destruction of the whole earth; sometimes the fire marks the end of the world. World fire.
A1031.	World-fire after theft of fire.
A1031.1.	"A ""flame of fire swifter than a blast of wind"" as punishment for the sin of the Irish."
A1031.2.	World-fire after theft of fire.
A1031.3.	Evil demons set world on fire.
A1031.4.	Fall of sun causes world-fire.
A1031.4.1.	All countries burned while the wife of sun god pours fire from a small bowl.
A1031.6.	Miscellaneous reasons for world-fire.
A1035.1.	Rain invoked to destroy world-fire.
A1035.2.	Creator puts out world-fire with his staff.
A1036.	Earth recreated after world-fire.
A1038.	Men hide from world-fire and renew race.
A1039.1.	Vulture sent out as scout to see whether earth has cooled from world-fire.
A104.	The making of gods.
A104.1.	Living person becomes god. I passim.
A104.2.	Dead body becomes god. Hawaii
A104.3.	Miscellaneous objects become gods. Hawaii
A104.4.	Spirits become gods.
A1040.	Continuous winter destroys the race. It ushers in the end of the world.
A1045.	Indian: Gayton and Newman 91;. One pair escapes continuous winter and renews race. S.
A1046.	Continuous world eclipse. S.
A1046.1.	World-eclipse ended by bat making sun smile.
A1050.	Heavens break up at end of world.
A1051.	Behavior of stars at end of world.
A1051.1.	Stars fall down at end of world.
A1051.2.	End of world when stars in one constellation overtake those in another.
A1052.	Behavior of sun at end of world.
A1052.1.	Sun devoured by monster at end of world.
A1052.2.	Sun shining at night as sign of Doomsday.
A1052.3.	End of world when four seven suns appear in sky.
A1053.	Behavior of moon at end of world.
A1053.1.	Moon shining by day as sign of Doomsday.
A1057.	Seven days silence in whole universe at the end of the world.
A1058.	End of world when culture hero removes one of the world-props.
A106.	Opposition of good and evil gods.
A106.0.1.	Gods and the demons quarrel over supremacy.
A106.1.	Revolt of bad gods against good.
A106.1.1.	Goddess rebels against her father for forbidding her marriage.
A106.2.	Revolt of Evil Angels against God.
A106.2.1.	Revolting devil banished to hell.
A106.2.1.1.	Banished devil appears on earth only on day of dark moon.
A106.2.1.2.	Demon opposed to God allowed to earth four times a year but must let people know who he is and not deceive them.
A106.2.2.	Satan's fall from heaven.
A106.3.	Created beings rebel against God.
A1060.	Earth-disturbances at end of world.
A1061.	Earth sinks into sea at end of world.
