type_id,num_cultures
563,96
301,94
613,91
300,91
313,90
480,89
1539,88
560,87
1535,86
314,86
400,85
325,83
700,83
554,82
707,81
1653,81
1640,80
302,80
155,79
531,79
1641,78
1696,78
875,77
303,77
650A,77
1,76
403,75
551,75
550,75
1000,73
1525E,73
1384,73
706,72
910B,71
954,71
670,70
530,70
327A,70
510A,70
505,69
1525A,69
451,69
513A,68
1540,67
567,67
425A,67
315,67
332,67
330,66
327B,65
851,65
720,65
402,64
1525D,64
123,64
1060,64
1586,64
511,64
930,63
566,63
950,63
1537,63
921,63
1030,63
590,63
1920,62
510B,62
653,62
1430,61
709,61
934,60
922,60
1655,60
47B,60
15,59
460A,59
555,59
552,59
461,59
465,58
2,58
326,58
1542,58
1541,57
1730,57
780,57
328,57
130,57
4,56
1415,56
311,56
1380,56
425,56
1210,56
2031,55
545B,55
1643,55
450,55
571,55
408,55
275B,55
882,55
653A,55
157,55
154,55
1737,55
750A,54
516,54
675,54
1950,54
1651,54
60,54
433B,54
62,54
1115,54
1351,54
1960D,54
122A,53
561,53
1240,53
910A,53
1534,53
1245,52
327,52
1538,52
592,52
56A,52
2030,52
1685,52
470,52
1360C,52
570,52
1525,51
2015,51
900,51
503,51
1119,51
1319,51
910,51
1528,50
9,50
956B,50
857,50
1654,50
921A,50
1164,50
1313A,49
507,49
1585,49
1045,49
926C,49
725,49
612,49
1381,49
1626,48
1137,48
1698,48
175,48
1960G,48
1450,48
51,48
1250,48
425C,48
1457,48
1642,48
1004,48
1062,48
225,48
924,47
1049,47
1536B,47
655,47
883A,47
834,47
75,47
1563,47
564,46
501,46
1408,46
893,46
20C,46
57,46
1775,46
500,46
432,46
312,46
449,46
1088,45
923,45
425B,45
955,45
1687,45
34,45
1610,45
671,45
306,45
812,45
901,45
1699,44
565,44
105,44
821B,44
331,44
160,44
1200,44
1697,44
47A,44
1725,44
759,44
1530,43
513B,43
1545,43
841,43
514,43
275C,43
1132,43
575,43
1741,43
41,43
3,43
125,43
1262,43
1180,43
38,43
156,43
327C,43
1930,43
981,43
518,42
502,42
1960,42
881,42
782,42
1529,42
910K,42
1052,42
930A,42
1735,42
21,42
982,41
1358C,41
1121,41
822,41
853,41
715,41
884,41
1063,41
1525J,41
1681,41
1310,41
310,41
365,41
1681B,41
569,41
1353,41
1287,40
1650,40
710,40
20A,40
1739,40
850,40
1406,40
1920A,40
1215,40
1091,40
440,40
56B,40
217,40
329,40
222,39
938,39
1242A,39
852,39
112,39
960,39
705A,39
1159,39
519,39
894,39
1284,39
460B,38
567A,38
1536A,38
763,38
318,38
8,38
1525Z*,38
178A,38
150,38
110,38
1678,38
1288,38
1875,38
1350,38
510,37
785,37
70,37
753,37
333,37
945,37
854,37
1225,37
221,37
471,37
92,37
1544,37
304,37
1072,37
1319*,37
1009,37
559,37
1600,37
562,37
1533,37
1834,36
1175,36
1675,36
6,36
1365B,36
61,36
2022,36
1149,36
37,36
980,36
1007,36
910D,36
951A,36
927,36
1831,36
1130,36
1642A,36
1051,36
59,36
1645,36
533,35
888,35
1551,35
407,35
974,35
1562A,35
2028,35
931,35
315A,35
879,35
990,35
1174,35
2300,35
1381C,35
31,35
1842,35
111A,35
791,35
1061,35
968,35
410,35
2A,34
1386,34
736A,34
660,34
50,34
5,34
1218,34
1135,34
1691,34
1453**,34
1889E,34
1260,34
1689A,34
471A,34
1682,34
307,34
875B,34
1525B,34
2025,34
1358B,34
1003,34
361,34
751A,34
750B,34
295,34
223,33
